ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SENS,2020-06-30,2020-08-10,261000.0,-7515000,40837000.0,-39605000.0,-16807000.0,11015280.0
SENS,2020-09-30,2020-11-09,767000.0,-23428000,44063000.0,-51971000.0,-13400000.0,11825991.0
SENS,2020-12-31,2021-03-05,3885000.0,-101632000,35918000.0,-141272000.0,-8248000.0,12553902.0
SENS,2021-03-31,2021-05-13,2846000.0,-249514000,195947000.0,-185899000.0,-16269000.0,18213722.0
SENS,2021-06-30,2021-08-09,3289000.0,-180306000,235125000.0,-312640000.0,-14185000.0,21592043.0
SENS,2021-09-30,2021-11-09,3532000.0,42914000,219624000.0,-266646000.0,-13896000.0,29088026.0
SENS,2021-12-31,2022-03-01,4008000.0,84433000,198928000.0,-185535000.0,-11938000.0,15570414.0
SENS,2022-03-31,2022-05-10,2481000.0,86718000,188097000.0,-89469000.0,-20296000.0,30259942.0
SENS,2022-06-30,2022-08-09,3714000.0,104231000,175325000.0,15941000.0,-14256000.0,30066548.0
SENS,2022-09-30,2022-11-08,4622000.0,-60391000,182670000.0,-15065000.0,-14628000.0,23623787.0
SENS,2022-12-31,2023-03-16,5571000.0,11561000,177673000.0,35080000.0,-17444000.0,39690844.0
SENS,2023-03-31,2023-05-09,4137000.0,1324000,158533000.0,102120000.0,-19905000.0,27026641.0
SENS,2023-06-30,2023-08-10,4126000.0,-20423000,153362000.0,90193000.0,-17984000.0,28356251.0
SENS,2023-09-30,2023-11-09,6097000.0,-24103000,154065000.0,89721000.0,-17387000.0,29622613.0
SENS,2023-12-31,2024-03-01,8030000.0,-17190000,138220000.0,73452000.0,-14115000.0,30742373.0
SENS,2024-03-31,2024-05-13,5047000.0,-18877000,126516000.0,56618000.0,-20354000.0,30729427.0
SENS,2024-06-30,2024-08-08,4865000.0,-20287000,111561000.0,38234000.0,-13008000.0,30829283.0
SENS,2024-09-30,2024-11-07,4263000.0,-23976000,96331000.0,20475000.0,-15468000.0,31044898.0
SENS,2024-12-31,2025-03-03,8297000.0,-15476000,100438000.0,21101000.0,-14280000.0,33340709.0
SENS,2025-03-31,2025-05-08,6257000.0,-14259000,87211000.0,35197000.0,-16283000.0,35943880.0
