ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SILK,2020-06-30,2020-08-13,15094000.0,-10353000,187523000.0,127080000.0,-11926000.0,32682360.0
SILK,2020-09-30,2020-11-16,20067000.0,-10315000,183828000.0,119738000.0,-4531000.0,33757599.0
SILK,2020-12-31,2021-03-01,21134000.0,-16720000,179314000.0,107500000.0,-14524000.0,34083887.0
SILK,2021-03-31,2021-05-10,22053000.0,-10694000,169662000.0,101154000.0,-12039000.0,34336433.0
SILK,2021-06-30,2021-08-06,26456000.0,-10542000,168206000.0,96138000.0,-9843000.0,34538492.0
SILK,2021-09-30,2021-11-09,24701000.0,-13885000,165531000.0,88179000.0,-7627000.0,34736015.0
SILK,2021-12-31,2022-03-01,28265000.0,-14693000,156625000.0,79240000.0,-14182000.0,35333120.0
SILK,2022-03-31,2022-05-10,28021000.0,-16679000,143000000.0,67707000.0,-16797000.0,34927283.0
SILK,2022-06-30,2022-08-09,33173000.0,-15400000,162721000.0,60029000.0,-11383000.0,35143178.0
SILK,2022-09-30,2022-11-09,37374000.0,-10319000,162544000.0,57198000.0,-5115000.0,35303958.0
SILK,2022-12-31,2023-02-28,40071000.0,-12614000,269685000.0,163875000.0,-4291000.0,37728269.0
SILK,2023-03-31,2023-05-09,40131000.0,-16460000,259587000.0,157613000.0,-12434000.0,38532202.0
SILK,2023-06-30,2023-08-08,45298000.0,-13484000,263360000.0,155505000.0,-5050000.0,38765166.0
SILK,2023-09-30,2023-11-08,44435000.0,-12788000,260864000.0,153142000.0,-7131000.0,38865011.0
SILK,2023-12-31,2024-02-28,47270000.0,-13011000,265309000.0,151151000.0,-8906000.0,39054993.0
SILK,2024-03-31,2024-05-07,48484000.0,-14136000,252314000.0,147285000.0,-15710000.0,39261496.0
SILK,2024-06-30,2024-08-07,51242000.0,-16603000,269807000.0,154684000.0,-4337000.0,39620888.0
