ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SITE,2020-06-30,2020-06-28,817700000.0,79100000,,,,43114035.0
SITE,2020-09-30,2020-10-28,751900000.0,48200000,1857200000.0,777200000.0,58400000.0,44561488.0
SITE,2020-12-31,2021-03-03,675100000.0,11500000,1695700000.0,795000000.0,37299999.0,46932164.0
SITE,2021-03-31,2021-05-05,650200000.0,7400000,1906700000.0,805500000.0,-54100000.0,45655171.0
SITE,2021-06-30,2021-08-04,1083900000.0,123500000,2077900000.0,936600000.0,127300001.0,45782652.0
SITE,2021-09-30,2021-11-03,936400000.0,80000000,2151800000.0,1022700000.0,59999999.0,45849338.0
SITE,2021-12-31,2022-02-24,805200000.0,27500000,2116100000.0,1057700000.0,42800000.0,46110191.0
SITE,2022-03-31,2022-05-04,805300000.0,32300000,2407400000.0,1099199999.0,-127800000.0,45942851.0
SITE,2022-06-30,2022-08-03,1216600000.0,140700000,2594300000.0,1243600000.0,81500000.0,45942851.0
SITE,2022-09-30,2022-11-02,1102600000.0,73300000,2632400000.0,1323300000.0,130000000.0,45774367.0
SITE,2022-12-31,2023-02-23,890000000.0,-900000,2533900000.0,1302900000.0,94000000.0,45805373.0
SITE,2023-03-31,2023-05-03,837400000.0,-4500000,2832600000.0,1302700000.0,-159000000.0,45045851.0
SITE,2023-06-30,2023-08-02,1353700000.0,124000000,2872500000.0,1435000000.0,243900000.0,45682976.0
SITE,2023-09-30,2023-11-01,1145100000.0,57300000,2989500000.0,1495500000.0,77500000.0,45747398.0
SITE,2023-12-31,2024-02-22,965000000.0,-3400000,2828900000.0,1486100000.0,101800000.0,46268847.0
SITE,2024-03-31,2024-05-01,904800000.0,-19300000,2981400000.0,1473800000.0,-106600000.0,45727992.0
SITE,2024-06-30,2024-07-31,1413900000.0,120200000,3185400000.0,1595900000.0,134000000.0,45647328.0
SITE,2024-09-30,2024-10-30,1208800000.0,44400000,3146200000.0,1642500000.0,106700000.0,45572078.0
SITE,2024-12-31,2025-02-20,1013100000.0,-21700000,3070800000.0,1591900000.0,110400000.0,45597298.0
SITE,2025-03-31,2025-04-30,939400000.0,-27300000,3258400000.0,1570200000.0,-143500000.0,45400763.0
