ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SMCI,2020-06-30,2020-08-31,896126000.0,18450000,1918646000.0,1065707000.0,-105502000.0,539460000.0
SMCI,2020-09-30,2020-11-06,762250000.0,26601000,1816693000.0,1072742000.0,,544260000.0
SMCI,2020-12-31,2021-02-05,830306000.0,27674000,1894072000.0,1064220000.0,,535840000.0
SMCI,2021-03-31,2021-05-07,895881000.0,18428000,1998840000.0,1053948000.0,-143486000.0,532180000.0
SMCI,2021-06-30,2021-08-27,1068985000.0,39162000,2241964000.0,1096398000.0,18936000.0,528000000.0
SMCI,2021-09-30,2021-11-05,1032730000.0,25437000,2426693000.0,1132798000.0,,529160000.0
SMCI,2021-12-31,2022-02-04,1172419000.0,41932000,2676602000.0,1186845000.0,,529160000.0
SMCI,2022-03-31,2022-05-06,1355490000.0,76972000,3071177000.0,1273919000.0,,535110000.0
SMCI,2022-06-30,2022-08-29,1635460000.0,140822000,3205077000.0,1425747000.0,-70325000.0,551170000.0
SMCI,2022-09-30,2022-11-04,1852130000.0,184416000,3301283000.0,1625203000.0,,542600000.0
SMCI,2022-12-31,2023-02-03,1803195000.0,176167000,3074942000.0,1818842000.0,,550170000.0
SMCI,2023-03-31,2023-05-05,1283296000.0,85846000,3192604000.0,1768573000.0,169627000.0,562330000.0
SMCI,2023-06-30,2023-08-28,2184861000.0,193569000,3674729000.0,1972170000.0,-17514000.0,583700000.0
SMCI,2023-09-30,2023-11-03,2119672000.0,156995000,4095964000.0,2165539000.0,,571850000.0
SMCI,2023-12-31,2024-02-02,3664924000.0,295968000,5405000000.0,3077074000.0,,580780000.0
SMCI,2024-03-31,2024-05-06,3850066000.0,402459000,8862781000.0,5094156000.0,-1623834000.0,614310000.0
SMCI,2024-06-30,2024-08-25,5354589000.0,297244000,9826092000.0,5417370000.0,-661797000.0,641644000.0
SMCI,2024-09-30,2024-11-25,5937256000.0,424327000,10851383000.0,5876917000.0,,639148000.0
SMCI,2024-12-31,2025-02-25,5677962000.0,320596000,9728348000.0,6238466000.0,-311593000.0,636047000.0
SMCI,2025-03-31,2025-05-12,4599913000.0,108777000,10738525000.0,6379479000.0,594064000.0,621809000.0
