ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SMTC,2020-07-31,2020-08-26,143660000.0,16125000,1054031000.0,677733000.0,30268000.0,66004000.0
SMTC,2020-10-31,2020-12-02,154082000.0,18487000,1047972000.0,676626000.0,21209000.0,65967000.0
SMTC,2021-01-31,2021-03-24,164673000.0,15656000,1082102000.0,698953000.0,16693000.0,66091000.0
SMTC,2021-04-30,2021-06-02,170372000.0,23500000,1069617000.0,704485000.0,26857000.0,66114000.0
SMTC,2021-07-31,2021-09-01,185004000.0,32933000,1100004000.0,708623000.0,46052000.0,65584000.0
SMTC,2021-10-31,2021-12-01,194932000.0,34427000,1121300000.0,718398000.0,61229000.0,65849000.0
SMTC,2022-01-31,2022-03-16,190550000.0,34804000,1130911000.0,737775000.0,42914000.0,65299000.0
SMTC,2022-04-30,2022-06-01,202149000.0,38049000,1115916000.0,735173000.0,41736000.0,64553000.0
SMTC,2022-07-31,2022-08-31,209254000.0,51598000,1199832000.0,799046000.0,70010000.0,63977000.0
SMTC,2022-10-31,2022-11-30,177618000.0,22746000,1466851000.0,792597000.0,11154000.0,63855000.0
SMTC,2023-01-31,2023-03-30,167512000.0,-51013000,2569628000.0,756035000.0,-24474000.0,63667000.0
SMTC,2023-04-30,2023-06-07,236539000.0,-29415000,2500024000.0,733209000.0,-103964000.0,63924000.0
SMTC,2023-07-31,2023-09-13,238372000.0,-382002000,2118600000.0,367015000.0,-19175000.0,64005000.0
SMTC,2023-10-31,2023-12-06,200899000.0,-38250000,2038129000.0,334439000.0,-12536000.0,64216000.0
SMTC,2024-01-31,2024-03-28,192948000.0,-642363000,1373735000.0,-307250000.0,11065000.0,64363000.0
SMTC,2024-04-30,2024-06-05,206105000.0,-23159000,1376509000.0,-313098000.0,-2749000.0,64509000.0
SMTC,2024-07-31,2024-08-28,215355000.0,-170295000,1368000000.0,-141437000.0,-12025000.0,65281000.0
SMTC,2024-10-31,2024-12-03,236825000.0,-7586000,1379004000.0,-139684000.0,28162000.0,75319000.0
SMTC,2025-01-31,2025-03-25,251002000.0,39144000,1419264000.0,542426000.0,30494000.0,81315000.0
SMTC,2025-04-30,2025-05-29,251060000.0,19345000,1431955000.0,568815000.0,25645000.0,89579000.0
