ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SNAP,2020-06-30,2020-07-22,454158000.0,-325951000,4704029000.0,2194665000.0,-82321000.0,1447022000.0
SNAP,2020-09-30,2020-10-21,678668000.0,-199853000,4817774000.0,2198771000.0,-69555000.0,1466420000.0
SNAP,2020-12-31,2021-02-05,911322000.0,-113099000,5024238000.0,2329976000.0,-68992000.0,1483025000.0
SNAP,2021-03-31,2021-04-23,769584000.0,-286882000,5058780000.0,1706178000.0,126035000.0,1501636000.0
SNAP,2021-06-30,2021-07-23,982108000.0,-151664000,6820815000.0,2908001000.0,-115709000.0,1548102000.0
SNAP,2021-09-30,2021-10-22,1067471000.0,-71959000,7111165000.0,3440116000.0,51716000.0,1580966000.0
SNAP,2021-12-31,2022-02-04,1297885000.0,22550000,7536306000.0,3790168000.0,160963000.0,1693160000.0
SNAP,2022-03-31,2022-04-22,1062727000.0,-359624000,8944937000.0,3563036000.0,106284000.0,1668879000.0
SNAP,2022-06-30,2022-07-22,1110909000.0,-422067000,8790791000.0,3443759000.0,-147451000.0,1632140000.0
SNAP,2022-09-30,2022-10-21,1128476000.0,-359502000,8285194000.0,2900262000.0,18109000.0,1608523000.0
SNAP,2022-12-31,2023-02-01,1299735000.0,-288460000,8029538000.0,2580698000.0,78366000.0,1523674000.0
SNAP,2023-03-31,2023-04-28,988608000.0,-328674000,7888390000.0,2578440000.0,103472000.0,1608304000.0
SNAP,2023-06-30,2023-07-26,1067669000.0,-377308000,7666223000.0,2504960000.0,-118879000.0,1603172000.0
SNAP,2023-09-30,2023-10-25,1188551000.0,-368256000,7722905000.0,2493021000.0,-60654000.0,1625917000.0
SNAP,2023-12-31,2024-02-07,1361287000.0,-248247000,7967758000.0,2414110000.0,110855000.0,1625917000.0
SNAP,2024-03-31,2024-04-26,1194773000.0,-305090000,7167401000.0,2131346000.0,37904000.0,1625917000.0
SNAP,2024-06-30,2024-08-02,1236768000.0,-248620000,7420039000.0,2066720000.0,-73439000.0,1625917000.0
SNAP,2024-09-30,2024-10-30,1372574000.0,-153247000,7591417000.0,2210073000.0,71831000.0,1625917000.0
SNAP,2024-12-31,2025-02-05,1557283000.0,9101000,7936348000.0,2450759000.0,182358000.0,1625917000.0
SNAP,2025-03-31,2025-04-30,1363217000.0,-139587000,7589200000.0,2311333000.0,114396000.0,1625917000.0
