ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SND,2021-12-31,2022-03-08,35080000.0,-12233000,374019000.0,241160000.0,-9350000.0,41873000.0
SND,2022-03-31,2022-05-11,41605000.0,-5923000,366570000.0,235982000.0,-12430000.0,42087000.0
SND,2022-06-30,2022-08-09,68714000.0,-90000,373968000.0,236512000.0,-3656000.0,42181000.0
SND,2022-09-30,2022-11-08,71592000.0,2683000,375398000.0,239561000.0,7378000.0,42524000.0
SND,2022-12-31,2023-02-28,73829000.0,2626000,360003000.0,243471000.0,2467000.0,42840000.0
SND,2023-03-31,2023-05-09,82350000.0,-3599000,359267000.0,231772000.0,1088000.0,41272000.0
SND,2023-06-30,2023-08-08,74776000.0,6307000,348635000.0,238802000.0,10913000.0,37968000.0
SND,2023-09-30,2023-11-07,76900000.0,6727000,346507000.0,246146000.0,5646000.0,38412000.0
SND,2023-12-31,2024-03-11,61947000.0,-4786000,346300000.0,242267000.0,-9558000.0,38532000.0
SND,2024-03-31,2024-05-13,83052000.0,-216000,349261000.0,242528000.0,-5508000.0,38555000.0
SND,2024-06-30,2024-08-13,73800000.0,-430000,341815000.0,242865000.0,13529000.0,38724000.0
SND,2024-09-30,2024-11-12,63158000.0,-98000,335811000.0,243550000.0,976247000.0,38926000.0
SND,2024-12-31,2025-03-04,91363000.0,3736000,341546000.0,243810000.0,-973325000.0,39031000.0
SND,2025-03-31,2025-05-13,65558000.0,-24231000,326908000.0,219909000.0,5189000.0,39721000.0
