ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SOI,2020-06-30,2020-07-30,9338000.0,-5541000,419848000.0,332480000.0,22473000.0,28638000.0
SOI,2020-09-30,2020-10-29,20531000.0,-3283000,417136000.0,322855000.0,2355000.0,28787000.0
SOI,2020-12-31,2021-02-23,25276000.0,-1436000,411896000.0,315479000.0,4145000.0,28923000.0
SOI,2021-03-31,2021-05-03,28669000.0,-1169000,409857000.0,308184000.0,159000.0,29957000.0
SOI,2021-06-30,2021-08-05,35179000.0,-1211000,411568000.0,302714000.0,-3795000.0,30984000.0
SOI,2021-09-30,2021-11-01,49377000.0,874000,414769000.0,300676000.0,1673000.0,31058000.0
SOI,2021-12-31,2022-02-24,45949000.0,638000,406223000.0,297876000.0,-1122000.0,31145000.0
SOI,2022-03-31,2022-04-29,56915000.0,3502000,412901000.0,300039000.0,-5469000.0,31239000.0
SOI,2022-06-30,2022-08-02,86711000.0,5453000,442420000.0,304595000.0,-4406000.0,31432000.0
SOI,2022-09-30,2022-11-02,92325000.0,7406000,460129000.0,312749000.0,-5318000.0,31599000.0
SOI,2022-12-31,2023-03-09,84054000.0,4797000,462576000.0,317129000.0,2187000.0,31646000.0
SOI,2023-03-31,2023-05-04,82722000.0,7569000,472998000.0,310410000.0,-885000.0,31214000.0
SOI,2023-06-30,2023-07-28,77202000.0,7532000,484330000.0,308456000.0,5809000.0,29542000.0
SOI,2023-09-30,2023-10-31,69676000.0,4934000,480508000.0,312727000.0,4802000.0,29025000.0
SOI,2023-12-31,2024-02-27,63347000.0,4301000,468297000.0,315580000.0,17624000.0,28991000.0
SOI,2024-03-31,2024-04-26,67890000.0,4317000,457070000.0,309848000.0,13527000.0,28587000.0
SOI,2024-06-30,2024-08-09,73886000.0,6208000,457764000.0,317183000.0,18203000.0,28335000.0
SOI,2024-09-30,2024-11-07,75018000.0,-968000,939487000.0,493375000.0,-53733000.0,28377000.0
SOI,2024-12-31,2025-03-05,96297000.0,6251000,1130458000.0,666729000.0,-108099000.0,29235000.0
SOI,2025-03-31,2025-05-07,126332000.0,5320000,1129790000.0,668066000.0,-114888000.0,36176000.0
