ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SPNE,2020-06-30,2020-08-04,28589000.0,-13713000,225669000.0,179699000.0,-11506000.0,27279000.0
SPNE,2020-09-30,2020-11-09,43209000.0,-6574000,221742000.0,178538000.0,-6341000.0,27536000.0
SPNE,2020-12-31,2021-03-05,46436000.0,-10343000,214401000.0,171718000.0,-17081000.0,27653000.0
SPNE,2021-03-31,2021-05-03,41954000.0,-12720000,230416000.0,159267000.0,-6708000.0,27913000.0
SPNE,2021-06-30,2021-08-05,47463000.0,-5213000,397212000.0,338161000.0,-14700000.0,33582000.0
SPNE,2021-09-30,2021-11-03,46445000.0,-17627000,390000000.0,326841000.0,-17863000.0,36419000.0
SPNE,2021-12-31,2022-03-15,55589000.0,-18786000,377267000.0,312364000.0,-20282000.0,47762000.0
SPNE,2022-03-31,2022-05-09,50693000.0,-16604000,380410000.0,296821000.0,-24352000.0,36472000.0
SPNE,2022-06-30,2022-08-04,56318000.0,-13947000,385570000.0,286827000.0,-15869000.0,36767000.0
SPNE,2022-09-30,2022-11-03,67147000.0,-15500000,374124000.0,274459000.0,-19008000.0,37044000.0
