ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SRI,2020-06-30,2020-07-29,99545000.0,-21734000,557219000.0,249262000.0,-10014000.0,26952000.0
SRI,2020-09-30,2020-10-28,175764000.0,6714000,581950000.0,264372000.0,8375000.0,27223000.0
SRI,2020-12-31,2021-02-24,189731000.0,3580000,621408000.0,296634000.0,11639000.0,26334000.0
SRI,2021-03-31,2021-04-28,193795000.0,130000,621477000.0,284672000.0,-24629000.0,27486000.0
SRI,2021-06-30,2021-08-04,191334000.0,19798000,635932000.0,313630000.0,-34736000.0,27432000.0
SRI,2021-09-30,2021-10-27,181680000.0,-10358000,626678000.0,297651000.0,-4399000.0,27147000.0
SRI,2021-12-31,2022-02-28,203653000.0,-6164000,665399000.0,295950000.0,-22402000.0,27599000.0
SRI,2022-03-31,2022-05-04,221058000.0,-7675000,650848000.0,293924000.0,-27047000.0,27199000.0
SRI,2022-06-30,2022-08-03,220936000.0,-7339000,638414000.0,272528000.0,-5521000.0,27269000.0
SRI,2022-09-30,2022-11-02,226757000.0,731000,633056000.0,264164000.0,-14352000.0,27524000.0
SRI,2022-12-31,2023-03-02,231172000.0,227000,652105000.0,280942000.0,22275000.0,27040000.0
SRI,2023-03-31,2023-05-03,241325000.0,-7386000,670738000.0,276243000.0,-17937000.0,27349000.0
SRI,2023-06-30,2023-08-02,266814000.0,-2992000,685497000.0,277638000.0,-3047000.0,27452000.0
SRI,2023-09-30,2023-11-01,238164000.0,2171000,678774000.0,273342000.0,-11427000.0,27734000.0
SRI,2023-12-31,2024-03-01,229515000.0,3024000,679900000.0,287717000.0,728000.0,27487000.0
SRI,2024-03-31,2024-05-01,239157000.0,-6126000,675412000.0,277256000.0,3395000.0,27529000.0
SRI,2024-06-30,2024-07-31,237059000.0,2786000,666651000.0,270451000.0,1669000.0,27853000.0
SRI,2024-09-30,2024-10-30,213831000.0,-7070000,662523000.0,271350000.0,4716000.0,27618000.0
SRI,2024-12-31,2025-03-03,218248000.0,-6114000,621556000.0,245260000.0,14050000.0,27626000.0
SRI,2025-03-31,2025-04-30,217890000.0,-7196000,657359000.0,253096000.0,4909000.0,27680000.0
