ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SSNT,2020-06-30,2020-08-12,9672945.0,33514,16990878.0,8642857.0,535194.0,4714070.0
SSNT,2020-09-30,2020-11-10,10159152.0,55205,17170114.0,8701458.0,-42377.0,4696820.0
SSNT,2020-12-31,2021-03-25,11308787.0,379043,15901408.0,7279992.0,1455169.0,4092923.0
SSNT,2021-03-31,2021-05-11,10879468.0,354679,19611928.0,11688772.0,,4766702.0
SSNT,2021-06-30,2021-08-10,10229209.0,130289,20186821.0,12590117.0,-410484.0,5072014.0
SSNT,2021-09-30,2021-11-09,10109654.0,-240029,17245538.0,9393696.0,1068460.0,5136177.0
SSNT,2021-12-31,2022-03-29,10483049.0,-379373,17998762.0,9356823.0,-304978.0,3030191.0
SSNT,2022-03-31,2022-05-12,11023844.0,-40656,18658285.0,9362112.0,-38794.0,5136177.0
SSNT,2022-06-30,2022-08-12,10638073.0,-87766,18311061.0,9320291.0,-24054.0,5136177.0
SSNT,2022-09-30,2022-11-14,10917159.0,-134237,19979280.0,9527839.0,1696642.0,5136177.0
SSNT,2022-12-31,2023-02-28,12406200.0,-19560,21438067.0,9552464.0,365856.0,5259793.0
SSNT,2023-03-31,2023-05-09,13127738.0,277491,21103094.0,9871452.0,-688923.0,5256177.0
SSNT,2023-06-30,2023-08-08,13257000.0,344000,20603189.0,10214813.0,340923.0,5256177.0
SSNT,2023-09-30,2023-11-14,13423000.0,-2110000,18387195.0,7053379.0,1091000.0,657000.0
SSNT,2023-12-31,2024-03-14,14709000.0,419000,20495000.0,7471000.0,-280000.0,9869026.0
SSNT,2024-03-31,2024-05-07,14436000.0,138000,20858983.0,7610697.0,304000.0,5315581.0
SSNT,2024-06-30,2024-08-14,14540000.0,-591000,988185000.0,971235000.0,-1104000.0,664000.0
SSNT,2024-09-30,2024-11-13,13100000.0,17200000,5063467000.0,5043582000.0,31600000.0,358813000.0
SSNT,2024-12-31,2025-03-04,14800000.0,11300000,5098300000.0,5052900000.0,53900000.0,451199419.0
SSNT,2025-03-31,2025-05-08,13508000.0,8755000,5113196000.0,5059414000.0,35699000.0,451430000.0
