ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SSP,2022-03-31,2022-05-06,565706000.0,22365000,6541861000.0,1984029000.0,24694000.0,91206000.0
SSP,2022-06-30,2022-08-05,594467000.0,41740000,6535670000.0,2019614000.0,54435000.0,87820000.0
SSP,2022-09-30,2022-11-08,612101000.0,46248000,6425224000.0,2059211000.0,81600000.0,85324000.0
SSP,2022-12-31,2023-02-24,680941000.0,85549000,6431005000.0,2130825000.0,87700000.0,85034000.0
SSP,2023-03-31,2023-05-05,527778000.0,-18540000,6402034000.0,2099808000.0,7445000.0,83751000.0
SSP,2023-06-30,2023-08-04,582836000.0,-669829000,5702733000.0,1428189000.0,-15745000.0,84296000.0
SSP,2023-09-30,2023-11-03,566529000.0,-3653000,5688073000.0,1416675000.0,557000.0,84433000.0
SSP,2023-12-31,2024-02-23,615769000.0,-255762000,5410120000.0,1156183000.0,47782000.0,84584000.0
SSP,2024-03-31,2024-05-10,561464000.0,1626000,5327825000.0,1161962000.0,19880000.0,84891000.0
SSP,2024-06-30,2024-08-09,573629000.0,1429000,5280956000.0,1168185000.0,-1195000.0,85673000.0
SSP,2024-09-30,2024-11-05,646300000.0,47776000,5254147000.0,1219218000.0,125486000.0,86067000.0
SSP,2024-12-31,2025-03-12,728379000.0,95387000,5198575000.0,1318014000.0,137102000.0,86321000.0
SSP,2025-03-31,2025-05-09,524393000.0,-3455000,5116189000.0,1319723000.0,-10808000.0,86912000.0
