ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
STAG,2020-06-30,2020-07-28,117617000.0,18909000,4279436000.0,2480317000.0,57617000.0,103807000.0
STAG,2020-09-30,2020-11-05,117295000.0,23743000,4265757000.0,2455964000.0,14770000.0,164090000.0
STAG,2020-12-31,2021-02-10,129951000.0,96055000,4692646000.0,2771052000.0,-373128000.0,164090000.0
STAG,2021-03-31,2021-05-04,133995000.0,24875000,4732567000.0,2698116000.0,-8050000.0,164090000.0
STAG,2021-06-30,2021-07-27,138427000.0,32650000,4806399000.0,2716902000.0,-30717000.0,164090000.0
STAG,2021-09-30,2021-10-28,142114000.0,48516000,5216022000.0,3021003000.0,-305680000.0,164090000.0
STAG,2021-12-31,2022-02-16,147623000.0,86293000,5833249000.0,3393587000.0,-542800000.0,164090000.0
STAG,2022-03-31,2022-05-03,159209000.0,52826000,5980857000.0,3474879000.0,-57073000.0,164090000.0
STAG,2022-06-30,2022-07-27,161500000.0,32376000,6109308000.0,3456495000.0,-88055000.0,179144000.0
STAG,2022-09-30,2022-10-27,166305000.0,63271000,6195896000.0,3496714000.0,42749000.0,179162000.0
STAG,2022-12-31,2023-02-15,170331000.0,29737000,6184988000.0,3458181000.0,36832000.0,178940000.0
STAG,2023-03-31,2023-04-26,173553000.0,49413000,6115837000.0,3430820000.0,77773000.0,179297000.0
STAG,2023-06-30,2023-07-26,171694000.0,51553000,6106186000.0,3443859000.0,73917000.0,179738000.0
STAG,2023-09-30,2023-10-26,179281000.0,49987000,6276014000.0,3495363000.0,-105144000.0,181163000.0
STAG,2023-12-31,2024-02-13,183307000.0,41680000,6283458000.0,3445811000.0,2543000.0,182022000.0
STAG,2024-03-31,2024-04-30,187543000.0,36580000,6294060000.0,3423220000.0,31226000.0,181991000.0
STAG,2024-06-30,2024-07-30,189777000.0,59737000,6444119000.0,3415330000.0,-50844000.0,182185000.0
STAG,2024-09-30,2024-10-29,190739000.0,41811000,6566232000.0,3364340000.0,-15099000.0,182297000.0
STAG,2024-12-31,2025-02-12,199325000.0,50910000,6833335000.0,3529108000.0,-238910000.0,183143000.0
STAG,2025-03-31,2025-04-29,205574000.0,91340000,6847859000.0,3543652000.0,78164000.0,186758000.0
