ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
STR,2020-06-30,2020-08-07,6115000.0,-368000,280301000.0,236208000.0,6554000.0,2875063.0
STR,2020-09-30,2020-11-09,9669000.0,1560000,278792000.0,235817000.0,4853000.0,2878438.0
STR,2020-12-31,2021-03-12,9496000.0,-1376000,275629000.0,228401000.0,5369000.0,4038563.0
STR,2021-03-31,2021-05-10,12504000.0,-1407000,274669000.0,223410000.0,,2882813.0
STR,2021-06-30,2021-08-06,19671000.0,0,270829000.0,220264000.0,13345000.0,3022137.0
STR,2021-09-30,2021-11-05,33709000.0,0,267538000.0,218247000.0,-5730000.0,5395938.0
STR,2021-12-31,2022-03-11,-2420000.0,13156000,1202854000.0,502521000.0,-24515000.0,1364114.0
STR,2022-03-31,2022-05-09,22305000.0,-1129000,259036000.0,205734000.0,,3022137.0
STR,2022-06-30,2022-08-08,87804000.0,6160000,2302119000.0,116558000.0,-306325000.0,83841000.0
STR,2022-09-30,2022-11-08,115497000.0,9139000,2486417000.0,221665000.0,-96334000.0,12703000.0
