ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
SUPN,2020-06-30,2020-08-17,126729000.0,34667000,1491020000.0,665974000.0,91416000.0,53645828.0
SUPN,2020-09-30,2020-11-06,155135000.0,39997000,1510022000.0,708879000.0,5296000.0,53762642.0
SUPN,2020-12-31,2021-03-08,143557000.0,30768000,1504102000.0,744858000.0,31618000.0,53769451.0
SUPN,2021-03-31,2021-05-07,130932000.0,5694000,1507443000.0,754444000.0,34239000.0,54196971.0
SUPN,2021-06-30,2021-08-06,141329000.0,23726000,1573060000.0,785579000.0,46274000.0,54724146.0
SUPN,2021-09-30,2021-11-05,148464000.0,21562000,1555040000.0,810468000.0,-4154000.0,54601533.0
SUPN,2021-12-31,2022-04-13,159050000.0,2442000,1689152000.0,815851000.0,48723000.0,53689743.0
SUPN,2022-03-31,2022-05-12,152506000.0,25616000,1639517000.0,828446000.0,3451000.0,54334794.0
SUPN,2022-06-30,2022-08-08,170051000.0,7865000,1694973000.0,841434000.0,70543000.0,61397159.0
SUPN,2022-09-30,2022-11-09,177353000.0,1749000,1693129000.0,852798000.0,13694000.0,55034838.0
SUPN,2022-12-31,2023-03-09,167328000.0,25481000,1702508000.0,886204000.0,29654000.0,75952409.0
SUPN,2023-03-31,2023-05-09,153764000.0,16948000,1791808000.0,912150000.0,48848000.0,62454204.0
SUPN,2023-06-30,2023-08-08,135563000.0,-831000,1293099000.0,919908000.0,-19033000.0,54502993.0
SUPN,2023-09-30,2023-11-08,153880000.0,-15976000,1285160000.0,912191000.0,35725000.0,48654458.0
SUPN,2023-12-31,2024-02-27,164314000.0,1175000,1277673000.0,921516000.0,44922000.0,55302546.0
SUPN,2024-03-31,2024-05-08,143644000.0,124000,1304090000.0,929166000.0,38153000.0,55626663.0
SUPN,2024-06-30,2024-08-06,168325000.0,19916000,1315829000.0,957454000.0,35560000.0,55724283.0
SUPN,2024-09-30,2024-11-04,175689000.0,38497000,1342701000.0,1007150000.0,53320000.0,56016350.0
SUPN,2024-12-31,2025-02-25,174159000.0,15328000,1368073000.0,1035733000.0,44193000.0,56466852.0
SUPN,2025-03-31,2025-05-06,149824000.0,-11827000,1347290000.0,1030705000.0,35172000.0,56734319.0
