ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TAP,2020-06-30,2020-07-30,2503400000.0,195000000,28638800000.0,13268000000.0,959400000.0,217000000.0
TAP,2020-09-30,2020-10-29,2753500000.0,342800000,28675300000.0,13775599999.0,323600000.0,217000000.0
TAP,2020-12-31,2021-02-11,2294300000.0,-1369800000,27331100000.0,12621300000.0,166700000.0,216500000.0
TAP,2021-03-31,2021-04-29,1898400000.0,84100000,27163600000.0,12834000000.0,-292300001.0,217400000.0
TAP,2021-06-30,2021-07-29,2939400000.0,388600000,28519900000.0,13236400001.0,832100000.0,217400000.0
TAP,2021-09-30,2021-10-28,2822700000.0,453000000,27643500000.0,13522500000.0,388600001.0,217600000.0
TAP,2021-12-31,2022-02-23,2619200000.0,80000000,27619000000.0,13664100000.0,148500000.0,217600000.0
TAP,2022-03-31,2022-05-03,2214600000.0,151500000,27721500000.0,13770500000.0,-349900000.0,217600000.0
TAP,2022-06-30,2022-08-02,2921700000.0,47300000,27387900000.0,13500600000.0,643000000.0,217800000.0
TAP,2022-09-30,2022-11-01,2935200000.0,216400000,26708500000.0,13396500000.0,315800000.0,217600000.0
TAP,2022-12-31,2023-02-21,2629500000.0,-590500000,25868300000.0,12915200000.0,263900000.0,216600000.0
TAP,2023-03-31,2023-05-02,2346300000.0,72500000,25852500000.0,12919000000.0,-173400000.0,800000.0
TAP,2023-06-30,2023-08-01,3266600000.0,342400000,26789600000.0,13256900000.0,738200000.0,217800000.0
TAP,2023-09-30,2023-11-02,3298400000.0,430700000,26568400000.0,13488000000.0,552900000.0,217600000.0
TAP,2023-12-31,2024-02-20,2790800000.0,103300000,26375100000.0,13435100000.0,300700000.0,433000000.0
TAP,2024-03-31,2024-04-30,2596400000.0,207800000,26072300000.0,13358200000.0,-187600000.0,214200000.0
TAP,2024-06-30,2024-08-06,3252300000.0,427000000,27394200000.0,13415700000.0,700300000.0,210800000.0
TAP,2024-09-30,2024-11-08,3042700000.0,199800000,26635300000.0,13567700000.0,355000000.0,208000000.0
TAP,2024-12-31,2025-02-18,2735600000.0,287800000,26064300000.0,13452700000.0,393000000.0,206600000.0
TAP,2025-03-31,2025-05-08,2304100000.0,121000000,25930500000.0,13451800000.0,-325700000.0,204000000.0
