ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TCI,2022-03-31,2022-05-13,7787000.0,14502000,750959000.0,386228000.0,-25681000.0,8639316.0
TCI,2022-06-30,2022-08-12,7770000.0,16461000,754466000.0,402849000.0,-5201000.0,8639316.0
TCI,2022-09-30,2022-11-10,8319000.0,378351000,1164539000.0,781425000.0,-4543000.0,8639316.0
TCI,2022-12-31,2023-03-23,12784000.0,58948000,1218165000.0,840612000.0,-54560000.0,8639316.0
TCI,2023-03-31,2023-05-11,11688000.0,3517000,1128806000.0,844327000.0,,8639316.0
TCI,2023-06-30,2023-08-10,12239000.0,530000,1081528000.0,845203000.0,-10157000.0,8639316.0
TCI,2023-09-30,2023-11-09,12525000.0,4451000,1080414000.0,849965000.0,-94000.0,8639316.0
TCI,2023-12-31,2024-03-21,13453000.0,-2561000,1043044000.0,846954000.0,-42295000.0,8639316.0
TCI,2024-03-31,2024-05-09,11899000.0,2549000,1042307000.0,849124000.0,,8639316.0
TCI,2024-06-30,2024-08-08,11773000.0,1498000,1046962000.0,850820000.0,-15533000.0,8639316.0
TCI,2024-09-30,2024-11-07,11607000.0,1707000,1056589000.0,852515000.0,-2235000.0,8639316.0
TCI,2024-12-31,2025-03-20,11791000.0,108000,1070545000.0,852811000.0,-48045000.0,8639316.0
TCI,2025-03-31,2025-05-08,12008000.0,4618000,1083540000.0,856913000.0,-10926000.0,8639316.0
