ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TDG,2020-06-30,2020-08-04,1022000000.0,-6000000,18156000000.0,-4299000000.0,,57300000.0
TDG,2020-12-31,2021-02-09,1108000000.0,50000000,18179000000.0,-4179000000.0,243000000.0,
TDG,2021-03-31,2021-05-11,1194000000.0,104000000,18739000000.0,-3521000000.0,,58400000.0
TDG,2021-06-30,2021-08-10,1218000000.0,317000000,19089000000.0,-3132000000.0,232000000.0,57300000.0
TDG,2021-09-30,2021-11-16,1279000000.0,211000000,19315000000.0,-2910000000.0,264000000.0,58400000.0
TDG,2021-12-31,2022-02-08,1194000000.0,161000000,19242000000.0,-2626000000.0,254000000.0,58400000.0
TDG,2022-03-31,2022-05-10,1327000000.0,199000000,18841000000.0,-2893000000.0,55000000.0,59200000.0
TDG,2022-06-30,2022-08-09,1398000000.0,240000000,18819000000.0,-2968000000.0,280000000.0,59200000.0
TDG,2022-09-30,2022-11-10,1510000000.0,264000000,18107000000.0,-3766000000.0,240000000.0,58200000.0
TDG,2022-12-31,2023-02-07,1397000000.0,228000000,18489000000.0,-3328000000.0,346000000.0,57100000.0
TDG,2023-03-31,2023-05-09,1592000000.0,304000000,20008000000.0,-2893000000.0,95000000.0,57100000.0
TDG,2023-06-30,2023-08-08,1744000000.0,353000000,19555000000.0,-2387000000.0,370000000.0,57200000.0
TDG,2023-09-30,2023-11-09,1852000000.0,413000000,19970000000.0,-1978000000.0,425000000.0,57400000.0
TDG,2023-12-31,2024-02-08,1789000000.0,382000000,20685000000.0,-3506000000.0,600000000.0,57700000.0
TDG,2024-03-31,2024-05-07,1919000000.0,405000000,21577000000.0,-3022000000.0,181000000.0,57800000.0
TDG,2024-06-30,2024-08-06,2046000000.0,461000000,21828000000.0,-2510000000.0,568000000.0,57900000.0
TDG,2024-09-30,2024-11-07,2186000000.0,466000000,25586000000.0,-6283000000.0,531000000.0,57800000.0
TDG,2024-12-31,2025-02-04,2006000000.0,493000000,21515000000.0,-6251000000.0,710000000.0,58300000.0
TDG,2025-03-31,2025-05-06,2150000000.0,479000000,21905000000.0,-5664000000.0,92000000.0,58100000.0
