ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TELA,2020-06-30,2020-08-13,3507000.0,-6081000,97550000.0,63403000.0,-6383000.0,11443122.0
TELA,2020-09-30,2020-11-12,5313000.0,-7703000,92351000.0,56333000.0,-3723000.0,14421990.0
TELA,2020-12-31,2021-03-25,5667000.0,-7790000,86458000.0,49026000.0,-7142000.0,14465789.0
TELA,2021-03-31,2021-05-14,5877000.0,-8136000,78319000.0,41691000.0,-8607000.0,14438405.0
TELA,2021-06-30,2021-08-12,7558000.0,-8255000,73799000.0,34965000.0,-5654000.0,14458911.0
TELA,2021-09-30,2021-11-12,7654000.0,-8266000,68809000.0,27729000.0,-6921000.0,14485688.0
TELA,2021-12-31,2022-03-23,8374000.0,-8619000,62544000.0,20098000.0,-9877000.0,14509848.0
TELA,2022-03-31,2022-05-11,8231000.0,-10862000,55355000.0,10038000.0,-10766000.0,14538864.0
TELA,2022-06-30,2022-08-11,10406000.0,-12741000,51333000.0,-1542000.0,-11886000.0,14557453.0
TELA,2022-09-30,2022-11-10,11159000.0,-10714000,79563000.0,23301000.0,-7939000.0,16758573.0
TELA,2022-12-31,2023-03-23,11622000.0,-9979000,67855000.0,14305000.0,-12029000.0,19215822.0
TELA,2023-03-31,2023-05-11,11909000.0,-12027000,58788000.0,3141000.0,-11689000.0,19185621.0
TELA,2023-06-30,2023-08-10,14494000.0,-10790000,94386000.0,40005000.0,-11421000.0,23239262.0
TELA,2023-09-30,2023-11-13,15052000.0,-10957000,87317000.0,30552000.0,-7102000.0,24483664.0
TELA,2023-12-31,2024-03-22,16998000.0,-12890000,78048000.0,18881000.0,-11244000.0,24566105.0
TELA,2024-03-31,2024-05-10,16603000.0,-5661000,71837000.0,14384000.0,-19080000.0,24579386.0
TELA,2024-06-30,2024-08-13,16091000.0,-12600000,60204000.0,2870000.0,-10764000.0,24663234.0
TELA,2024-09-30,2024-11-08,18957000.0,-10372000,53016000.0,-6272000.0,-9105000.0,24703578.0
TELA,2024-12-31,2025-03-21,17649000.0,-9208000,86570000.0,28458000.0,-13161000.0,40159566.0
TELA,2025-03-31,2025-05-08,18520000.0,-11264000,77251000.0,18123000.0,-9863000.0,45267020.0
