ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TEVA,2020-06-30,2020-08-05,3870000000.0,140000000,54991000000.0,14825000000.0,181000000.0,1100000000.0
TEVA,2020-09-30,2020-11-05,3978000000.0,-4349000000,49735000000.0,10592000000.0,173000000.0,1096000000.0
TEVA,2020-12-31,2021-02-10,4453000000.0,149000000,50640000000.0,11062000000.0,168000000.0,1088000000.0
TEVA,2021-03-31,2021-04-28,3982000000.0,78000000,49005000000.0,10975000000.0,-417000000.0,1107000000.0
TEVA,2021-06-30,2021-07-28,3910000000.0,207000000,49195000000.0,11311000000.0,215000000.0,1107000000.0
TEVA,2021-09-30,2021-10-27,3887000000.0,290000000,47852000000.0,11452000000.0,398000000.0,1109000000.0
TEVA,2021-12-31,2022-02-09,4100000000.0,-160000000,47665000000.0,11244000000.0,345000000.0,1109000000.0
TEVA,2022-03-31,2022-05-03,3661000000.0,-956000000,47057000000.0,10261000000.0,-181000000.0,1103000000.0
TEVA,2022-06-30,2022-07-27,3786000000.0,-234000000,45931000000.0,9828000000.0,14000000.0,1103000000.0
TEVA,2022-09-30,2022-11-03,3595000000.0,56000000,44254000000.0,9519000000.0,423000000.0,1110000000.0
TEVA,2022-12-31,2023-02-10,3884000000.0,-1314000000,44011000000.0,8598000000.0,854000000.0,1124000000.0
TEVA,2023-03-31,2023-05-10,3661000000.0,-221000000,43457000000.0,8612000000.0,-282000000.0,1115000000.0
TEVA,2023-06-30,2023-08-02,3878000000.0,-872000000,43094000000.0,7706000000.0,261000000.0,1120000000.0
TEVA,2023-09-30,2023-11-09,3850000000.0,69000000,42087000000.0,7511000000.0,-134000000.0,1135000000.0
TEVA,2023-12-31,2024-02-12,4457000000.0,465000000,43477000000.0,8125000000.0,1065000000.0,1120000000.0
TEVA,2024-03-31,2024-05-08,3819000000.0,-139000000,42772000000.0,7543000000.0,47000000.0,1123000000.0
TEVA,2024-06-30,2024-07-31,4164000000.0,-850000000,41339000000.0,6563000000.0,8000000.0,1133000000.0
TEVA,2024-09-30,2024-11-06,4332000000.0,-434000000,41759000000.0,6384000000.0,582000000.0,1133000000.0
TEVA,2024-12-31,2025-02-05,4229000000.0,-217000000,39326000000.0,5720000000.0,450000000.0,1135000000.0
TEVA,2025-03-31,2025-05-07,3891000000.0,216000000,38414000000.0,6269000000.0,107000000.0,1159000000.0
