ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
THR,2020-06-30,2020-08-06,56848000.0,-6085000,619947000.0,350462000.0,1293000.0,32986451.0
THR,2020-09-30,2020-11-05,66406000.0,1838000,627075000.0,358599000.0,7179000.0,33417654.0
THR,2020-12-31,2021-02-04,79604000.0,6175000,642357000.0,379582000.0,2299000.0,33419573.0
THR,2021-03-31,2021-05-27,73323000.0,-1051000,617878000.0,378872000.0,11386000.0,33540138.0
THR,2021-06-30,2021-08-05,71155000.0,-340000,624825000.0,384886000.0,1604000.0,33461635.0
THR,2021-09-30,2021-11-09,81322000.0,477000,618915000.0,377525000.0,6792000.0,33592824.0
THR,2021-12-31,2022-02-03,100613000.0,11270000,626470000.0,388560000.0,2430000.0,33658104.0
THR,2022-03-31,2022-05-26,102584000.0,8685000,636669000.0,399204000.0,12708000.0,33345681.0
THR,2022-06-30,2022-08-04,95442000.0,6556000,661931000.0,401252000.0,10243000.0,33567284.0
THR,2022-09-30,2022-11-03,100557000.0,10984000,654279000.0,395758000.0,-1326000.0,33773475.0
THR,2022-12-31,2023-02-02,122110000.0,8425000,650095000.0,411504000.0,17678000.0,33879733.0
THR,2023-03-31,2023-05-25,122481000.0,7701000,649629000.0,418988000.0,21666000.0,33763252.0
THR,2023-06-30,2023-08-03,106889000.0,10938000,657125000.0,433949000.0,-1933000.0,33863000.0
THR,2023-09-30,2023-11-02,123659000.0,14730000,663723000.0,442306000.0,585000.0,34126884.0
THR,2023-12-31,2024-02-01,136427000.0,15837000,805088000.0,467425000.0,22054000.0,34201525.0
THR,2024-03-31,2024-05-29,127654000.0,10083000,767740000.0,474887000.0,35073000.0,34076539.0
THR,2024-06-30,2024-08-07,115126000.0,8511000,756944000.0,475980000.0,8755000.0,34075020.0
THR,2024-09-30,2024-11-07,114648000.0,9494000,761532000.0,490287000.0,6717000.0,34143403.0
THR,2024-12-31,2025-02-06,134353000.0,18539000,763391000.0,488685000.0,5446000.0,34091732.0
THR,2025-03-31,2025-05-22,134080000.0,16971000,755452000.0,495315000.0,28924000.0,33922801.0
