ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
THRM,2020-06-30,2020-08-04,136061000.0,-10322000,823370000.0,469321000.0,17577000.0,33510000.0
THRM,2020-09-30,2020-10-30,259540000.0,24146000,921447000.0,511796000.0,23074000.0,33510000.0
THRM,2020-12-31,2021-03-01,288884000.0,33993000,1022839000.0,586331000.0,25456000.0,33510000.0
THRM,2021-03-31,2021-04-30,288535000.0,32909000,932454000.0,612758000.0,29764000.0,33510000.0
THRM,2021-06-30,2021-07-30,266005000.0,24791000,933873000.0,645210000.0,33939000.0,33510000.0
THRM,2021-09-30,2021-10-29,243384000.0,15686000,943978000.0,655480000.0,23829000.0,33510000.0
THRM,2021-12-31,2022-02-17,248226000.0,20048000,935343000.0,653806000.0,14254000.0,33510000.0
THRM,2022-03-31,2022-05-04,267657000.0,11747000,967113000.0,655787000.0,-6291000.0,33510000.0
THRM,2022-06-30,2022-08-02,260715000.0,7072000,947046000.0,643195000.0,-12762000.0,33470000.0
THRM,2022-09-30,2022-11-03,332962000.0,9827000,1241333000.0,624089000.0,6448000.0,33470000.0
THRM,2022-12-31,2023-02-24,343322000.0,-4205000,1239300000.0,672273000.0,-13593000.0,33503000.0
THRM,2023-03-31,2023-04-27,363625000.0,7963000,1268746000.0,680318000.0,21976000.0,33386000.0
THRM,2023-06-30,2023-08-01,372323000.0,-1551000,1244047000.0,670560000.0,25309000.0,33019000.0
THRM,2023-09-30,2023-10-26,366195000.0,15844000,1225597000.0,660052000.0,4420000.0,33196000.0
THRM,2023-12-31,2024-02-21,366933000.0,18087000,1234371000.0,644722000.0,37040000.0,32667000.0
THRM,2024-03-31,2024-04-30,356015000.0,14785000,1252710000.0,647059000.0,-21620000.0,31691000.0
THRM,2024-06-30,2024-07-31,375683000.0,18876000,1240553000.0,640304000.0,17821000.0,31710000.0
THRM,2024-09-30,2024-10-30,371512000.0,15965000,1298179000.0,660709000.0,34071000.0,31365000.0
THRM,2024-12-31,2025-02-19,352914000.0,15321000,1247556000.0,616947000.0,-6027000.0,31138000.0
THRM,2025-03-31,2025-04-24,353854000.0,-128000,1344246000.0,646528000.0,-14363000.0,30910000.0
