ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TKR,2020-06-30,2020-08-03,803500000.0,61900000,4901000000.0,1967600000.0,222699999.0,75698289.0
TKR,2020-09-30,2020-10-29,894600000.0,88800001,4909100000.0,2099000000.0,124400001.0,76286136.0
TKR,2020-12-31,2021-02-16,891700000.0,53100000,5041599998.0,2225200000.0,86000000.0,77312483.0
TKR,2021-03-31,2021-04-28,1025400000.0,113300000,5106200000.0,2250100000.0,2300001.0,77264641.0
TKR,2021-06-30,2021-08-02,1062900000.0,104800000,5166199998.0,2367300000.0,115999999.0,77264641.0
TKR,2021-09-30,2021-11-01,1037300000.0,88100000,5145600000.0,2376400000.0,62700000.0,77023973.0
TKR,2021-12-31,2022-02-15,1007300000.0,62900000,5170700000.0,2377700000.0,58600000.0,77023973.0
TKR,2022-03-31,2022-05-02,1124600000.0,118200000,5458500000.0,2355000000.0,-35500000.0,76594491.0
TKR,2022-06-30,2022-07-28,1153700000.0,105000000,5442499999.0,2289200000.0,37400000.0,76594491.0
TKR,2022-09-30,2022-10-26,1136400000.0,87000000,5281900000.0,2178800000.0,101200000.0,74182793.0
TKR,2022-12-31,2023-02-16,1082000000.0,97200000,5772400000.0,2352900000.0,191900000.0,76401366.0
TKR,2023-03-31,2023-05-03,1262800000.0,122300000,5853000000.0,2436300000.0,36900000.0,73360854.0
TKR,2023-06-30,2023-08-03,1272300000.0,125200000,6251300000.0,2650000000.0,97700000.0,72512991.0
TKR,2023-09-30,2023-11-01,1142700000.0,87900000,6244700000.0,2597100000.0,150100000.0,71535609.0
TKR,2023-12-31,2024-02-26,1091200000.0,58700000,6541700000.0,2702400000.0,74500000.0,70918082.0
TKR,2024-03-31,2024-04-30,1190300000.0,103500000,6544000000.0,2735000000.0,5200000.0,70880015.0
TKR,2024-06-30,2024-07-31,1182300000.0,96200000,6575900000.0,2950100000.0,88800000.0,70849254.0
TKR,2024-09-30,2024-11-05,1126800000.0,81800000,6767400000.0,3090700000.0,104200000.0,70663741.0
TKR,2024-12-31,2025-02-20,1073600000.0,71200000,6411000000.0,2984100000.0,125100000.0,70608918.0
TKR,2025-03-31,2025-04-30,1140300000.0,78300000,6570400000.0,3089000000.0,25300000.0,70513937.0
