ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TNDM,2020-06-30,2020-07-30,109236000.0,-27107000,616239000.0,267704000.0,908000.0,60424000.0
TNDM,2020-09-30,2020-11-05,123603000.0,-9408000,672988000.0,326544000.0,7723000.0,61529000.0
TNDM,2020-12-31,2021-02-24,168065000.0,17000000,716415000.0,366305000.0,14447000.0,62267000.0
TNDM,2021-03-31,2021-05-05,141037000.0,-5044000,754273000.0,313414000.0,25161000.0,62448000.0
TNDM,2021-06-30,2021-08-04,172139000.0,4008000,795250000.0,346085000.0,17749000.0,62448000.0
TNDM,2021-09-30,2021-11-03,179627000.0,5794000,850279000.0,389654000.0,27908000.0,64784000.0
TNDM,2021-12-31,2022-02-22,209996000.0,10808000,905137000.0,433112000.0,4558000.0,64784000.0
TNDM,2022-03-31,2022-05-04,175907000.0,-14715000,1015277000.0,437382000.0,11157000.0,64784000.0
TNDM,2022-06-30,2022-08-03,200262000.0,-15056000,1036575000.0,449584000.0,-5216000.0,64237000.0
TNDM,2022-09-30,2022-11-02,204547000.0,-48970000,1047520000.0,421822000.0,10233000.0,64237000.0
TNDM,2022-12-31,2023-02-22,220501000.0,-15853000,1052785000.0,439947000.0,193000.0,64384000.0
TNDM,2023-03-31,2023-05-03,169383000.0,-123873000,954145000.0,338753000.0,-27154000.0,64549000.0
TNDM,2023-06-30,2023-08-03,195917000.0,-35775000,946676000.0,329234000.0,-13700000.0,64830000.0
TNDM,2023-09-30,2023-11-01,185622000.0,-32961000,939909000.0,314000000.0,-5345000.0,65117000.0
TNDM,2023-12-31,2024-02-21,196796000.0,-30002000,952658000.0,313632000.0,-12415000.0,65369000.0
TNDM,2024-03-31,2024-05-02,191674000.0,-42715000,941045000.0,243064000.0,-12453000.0,65326000.0
TNDM,2024-06-30,2024-08-01,221910000.0,-30814000,937503000.0,233875000.0,-11741000.0,64994000.0
TNDM,2024-09-30,2024-11-06,243971000.0,-23251000,957730000.0,237710000.0,21540000.0,65538000.0
TNDM,2024-12-31,2025-02-26,282648000.0,755000,967658000.0,263098000.0,7648000.0,66157000.0
TNDM,2025-03-31,2025-04-30,234422000.0,-130556000,922143000.0,155292000.0,-21243000.0,66404000.0
