ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TPC,2020-06-30,2020-07-29,1276427000.0,18709000,4763603000.0,1464141000.0,73043000.0,50935000.0
TPC,2020-09-30,2020-11-04,1442091000.0,36819000,5042256000.0,1509297000.0,72510000.0,51241000.0
TPC,2020-12-31,2021-02-24,1349516000.0,35495000,5045617000.0,1542945000.0,31649000.0,51296000.0
TPC,2021-03-31,2021-05-05,1207595000.0,16034000,4946007000.0,1572081000.0,-56082000.0,51348000.0
TPC,2021-06-30,2021-08-04,1219243000.0,31165000,4892100000.0,1610430000.0,-90457000.0,51375000.0
TPC,2021-09-30,2021-11-03,1178222000.0,15394000,4827750000.0,1630618000.0,-28005000.0,51366000.0
TPC,2021-12-31,2022-02-24,1036770000.0,29332000,4724898000.0,1673720000.0,-11493000.0,51387000.0
TPC,2022-03-31,2022-05-04,952154000.0,-21634000,4792158000.0,1646521000.0,110153000.0,51107000.0
TPC,2022-06-30,2022-08-05,861027000.0,-63003000,4719683000.0,1567946000.0,46120000.0,51276000.0
TPC,2022-09-30,2022-11-02,1070926000.0,-32455000,4760974000.0,1519363000.0,58934000.0,51404000.0
TPC,2022-12-31,2023-03-15,906648000.0,-92917000,4542800000.0,1441984000.0,-63114000.0,51509000.0
TPC,2023-03-31,2023-05-04,776300000.0,-49196000,4476778000.0,1389707000.0,7980000.0,51551000.0
TPC,2023-06-30,2023-08-04,1021751000.0,-37534000,4468515000.0,1368201000.0,42168000.0,51803000.0
TPC,2023-09-30,2023-11-09,1060705000.0,-36896000,4485727000.0,1333955000.0,90477000.0,51994000.0
TPC,2023-12-31,2024-02-28,1021471000.0,-47529000,4429856000.0,1283911000.0,119497000.0,52032000.0
TPC,2024-03-31,2024-04-25,1048987000.0,15760000,4370407000.0,1303234000.0,88032000.0,52515000.0
TPC,2024-06-30,2024-08-01,1127470000.0,812000,4293748000.0,1316117000.0,42448000.0,52848000.0
TPC,2024-09-30,2024-11-06,1082816000.0,-100862000,4386501000.0,1231689000.0,15956000.0,52408000.0
TPC,2024-12-31,2025-02-27,1067649000.0,-79431000,4242710000.0,1158606000.0,310383000.0,52461000.0
TPC,2025-03-31,2025-05-07,1246633000.0,27998000,4454298000.0,1187597000.0,-9129000.0,53010000.0
