ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TSN,2020-06-30,2020-08-03,10022000000.0,526000000,34558000000.0,15004000000.0,1165000000.0,364000000.0
TSN,2020-09-30,2020-11-16,11460000000.0,654000000,34456000000.0,15386000000.0,874000000.0,364000000.0
TSN,2020-12-31,2021-02-11,10460000000.0,467000000,35458000000.0,15781000000.0,1096000000.0,365000000.0
TSN,2021-03-31,2021-05-10,11300000000.0,476000000,34474000000.0,16070000000.0,-304000000.0,365000000.0
TSN,2021-06-30,2021-08-09,12478000000.0,749000000,35663000000.0,16693000000.0,1005000000.0,365000000.0
TSN,2021-09-30,2021-11-15,12811000000.0,1355000000,36309000000.0,17809000000.0,834000000.0,365000000.0
TSN,2021-12-31,2022-02-07,12933000000.0,1121000000,36824000000.0,18542000000.0,1024000000.0,366000000.0
TSN,2022-03-31,2022-05-09,13117000000.0,829000000,35898000000.0,19118000000.0,-647000000.0,365000000.0
TSN,2022-06-30,2022-08-08,13495000000.0,750000000,36245000000.0,19451000000.0,190000000.0,362000000.0
TSN,2022-09-30,2022-11-14,13737000000.0,538000000,36821000000.0,19766000000.0,233000000.0,359000000.0
TSN,2022-12-31,2023-02-06,13260000000.0,316000000,36678000000.0,19742000000.0,173000000.0,358000000.0
TSN,2023-03-31,2023-05-08,13133000000.0,-97000000,36796000000.0,19513000000.0,-501000000.0,284000000.0
TSN,2023-06-30,2023-08-10,13140000000.0,-417000000,36761000000.0,18865000000.0,193000000.0,354000000.0
TSN,2023-09-30,2023-11-13,13348000000.0,-450000000,36251000000.0,18255000000.0,-52000000.0,140000000.0
TSN,2023-12-31,2024-02-05,13319000000.0,107000000,36746000000.0,18288000000.0,946000000.0,355000000.0
TSN,2024-03-31,2024-05-06,13072000000.0,145000000,37465000000.0,18223000000.0,-390000000.0,355000000.0
TSN,2024-06-30,2024-08-05,13353000000.0,191000000,37732000000.0,18202000000.0,533000000.0,356000000.0
TSN,2024-09-30,2024-11-12,13565000000.0,357000000,37100000000.0,18514000000.0,369000000.0,358000000.0
TSN,2024-12-31,2025-02-03,13623000000.0,359000000,37310000000.0,18627000000.0,760000000.0,357000000.0
TSN,2025-03-31,2025-05-05,13074000000.0,7000000,36280000000.0,18531000000.0,-378000000.0,357000000.0
