ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TSVT,2021-09-30,2021-12-01,19257000.0,-60001000,192959000.0,-58407000.0,-51974000.0,23287457.0
TSVT,2021-12-31,2022-03-22,16034000.0,-60976000,759675000.0,359822000.0,-58235000.0,23499000.0
TSVT,2022-03-31,2022-05-12,8429000.0,-85711000,851921000.0,447416000.0,-77067000.0,26751000.0
TSVT,2022-06-30,2022-08-10,13482000.0,-77420000,787406000.0,378984000.0,-49125000.0,38381000.0
TSVT,2022-09-30,2022-11-07,13408000.0,-67879000,708744000.0,323180000.0,-74031000.0,38573000.0
TSVT,2022-12-31,2023-03-16,56177000.0,-23143000,656665000.0,310466000.0,-58727000.0,38843000.0
TSVT,2023-03-31,2023-05-10,41621000.0,-47021000,742437000.0,401324000.0,-55167000.0,43468000.0
TSVT,2023-06-30,2023-08-14,36048000.0,-42089000,705713000.0,367495000.0,-36634000.0,35637000.0
TSVT,2023-09-30,2023-11-14,12034000.0,-71638000,640806000.0,306422000.0,-24256000.0,51179000.0
TSVT,2023-12-31,2024-03-07,10684000.0,-56822000,565426000.0,255300000.0,-64666000.0,66820000.0
TSVT,2024-03-31,2024-05-09,12435000.0,-52673000,511051000.0,207439000.0,-42313000.0,52071000.0
TSVT,2024-06-30,2024-08-08,8967000.0,24879000,517896000.0,234804000.0,-23203000.0,55011000.0
TSVT,2024-09-30,2024-11-12,13534000.0,-9933000,503846000.0,228102000.0,-10539000.0,52263000.0
TSVT,2024-12-31,2025-03-25,2926000.0,-19520000,479510000.0,210806000.0,-9474000.0,52352000.0
TSVT,2025-03-31,2025-05-07,22938000.0,482000,480005000.0,213961000.0,,53433000.0
