ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TWLVU,2021-03-31,2021-07-22,,-88591,346566896.0,337611278.0,,8182333.0
TWLVU,2021-06-30,2021-08-16,,-1919723,346347557.0,335691555.0,,9790000.0
TWLVU,2021-09-30,2021-11-15,,2495270,346131471.0,338186826.0,,8625000.0
TWLVU,2021-12-31,2022-04-01,,1351216,345805631.0,339538042.0,,8625000.0
TWLVU,2022-03-31,2022-05-16,,2528335,345603852.0,342066377.0,,8625000.0
TWLVU,2022-06-30,2022-08-15,,2253069,345846582.0,344319446.0,,8625000.0
TWLVU,2022-09-30,2022-11-14,,1377626,347266702.0,345697072.0,,8625000.0
TWLVU,2022-12-31,2023-03-31,,2538094,349853466.0,348235166.0,,116785000.0
TWLVU,2023-03-31,2023-05-22,,976817,33519263.0,30776122.0,,13300528.0
TWLVU,2023-06-30,2023-08-21,,-143897,33694043.0,30632225.0,,13300528.0
TWLVU,2023-09-30,2023-11-14,,178830,34193486.0,30811055.0,,13300528.0
