ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
TZUP,2021-06-30,2021-08-13,,-132515,709267.0,485050.0,-151758.0,
TZUP,2021-09-30,2021-10-29,,-295994,457401.0,189056.0,-309866.0,5367274.0
TZUP,2021-12-31,2022-03-17,,-327497,429158.0,179845.0,-241953.0,4833220.0
TZUP,2022-03-31,2022-05-06,3494.0,-224372,329449.0,78974.0,,6093703.0
TZUP,2022-06-30,2022-08-03,1398.0,-275138,657489.0,402716.0,,6093703.0
TZUP,2022-09-30,2022-11-14,1632.0,-292935,1226692.0,1194436.0,,6444547.0
TZUP,2022-12-31,2023-03-31,-4103.0,-712236,1160799.0,786524.0,,6231059.0
TZUP,2023-03-31,2023-05-15,1770.0,-720305,583667.0,514135.0,,7118933.0
TZUP,2023-06-30,2023-08-21,580.0,-921935,519381.0,-229829.0,-749633.0,7118933.0
TZUP,2023-09-30,2023-11-13,72.0,-1111111,255089.0,127799.0,-560736.0,7304929.0
TZUP,2023-12-31,2024-03-20,-374.0,-382345,415187.0,349327.0,-416415.0,6949209.0
TZUP,2024-03-31,2024-05-13,405.0,-327949,548930.0,480322.0,,7684862.0
TZUP,2024-06-30,2024-08-12,30.0,-527773,733018.0,619202.0,,7724297.0
TZUP,2024-09-30,2024-11-14,150.0,-441838,421481.0,187964.0,-379099.0,7742982.0
TZUP,2024-12-31,2025-03-11,156.0,-2702345,5102464.0,4767261.0,-2442597.0,8860843.0
TZUP,2025-03-31,2025-05-15,151.0,-2134176,3179967.0,2796223.0,-3263635.0,9412260.0
