ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
UAL,2020-06-30,2020-07-22,1475000000.0,-1627000000,54901000000.0,8517000000.0,-169000000.0,280700000.0
UAL,2020-09-30,2020-10-15,2489000000.0,-1841000000,61189000000.0,7003000000.0,-2257000000.0,291000000.0
UAL,2020-12-31,2021-03-01,3412000000.0,-1897000000,59548000000.0,5960000000.0,-2268000000.0,297400000.0
UAL,2021-03-31,2021-04-22,3221000000.0,-1357000000,61662000000.0,5206000000.0,14000000.0,316600000.0
UAL,2021-06-30,2021-07-22,5471000000.0,-434000000,71049000000.0,4904000000.0,1816000000.0,323600000.0
UAL,2021-09-30,2021-10-20,7750000000.0,473000000,69294000000.0,5431000000.0,-1040000000.0,329000000.0
UAL,2021-12-31,2022-02-18,8192000000.0,-646000000,68175000000.0,5029000000.0,-723000000.0,331326068.0
UAL,2022-03-31,2022-04-21,7566000000.0,-1377000000,69038000000.0,3624000000.0,1140000000.0,323810825.0
UAL,2022-06-30,2022-07-21,12112000000.0,329000000,70381000000.0,3964000000.0,2213000000.0,326728861.0
UAL,2022-09-30,2022-10-19,12877000000.0,942000000,68968000000.0,4898000000.0,-541000000.0,330300000.0
UAL,2022-12-31,2023-02-16,12400000000.0,843000000,67358000000.0,6896000000.0,-1358000000.0,314403614.0
UAL,2023-03-31,2023-04-20,11429000000.0,-194000000,70417000000.0,6668000000.0,1300000000.0,327968615.0
UAL,2023-06-30,2023-07-20,14178000000.0,1075000000,73341000000.0,7705000000.0,2387000000.0,331500000.0
UAL,2023-09-30,2023-10-18,14484000000.0,1137000000,73153000000.0,8853000000.0,-951000000.0,332400000.0
UAL,2023-12-31,2024-02-29,13626000000.0,600000000,71104000000.0,9324000000.0,-2957000000.0,335731385.0
UAL,2024-03-31,2024-04-17,12539000000.0,-124000000,71902000000.0,9188000000.0,1502000000.0,332300000.0
UAL,2024-06-30,2024-07-18,14986000000.0,1323000000,73254000000.0,10526000000.0,1733000000.0,333900000.0
UAL,2024-09-30,2024-10-16,14843000000.0,965000000,72640000000.0,11437000000.0,112000000.0,332700000.0
UAL,2024-12-31,2025-02-27,14695000000.0,985000000,74083000000.0,12675000000.0,592000000.0,332900000.0
UAL,2025-03-31,2025-04-16,13212000000.0,390000000,76111000000.0,12616000000.0,2506000000.0,333000000.0
