ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
UTI,2020-06-30,2020-08-07,54483000.0,-13268000,421583000.0,170982000.0,-23024000.0,32607000.0
UTI,2020-09-30,2020-12-03,76327000.0,6450000,441981000.0,176522000.0,19093000.0,30113000.0
UTI,2020-12-31,2021-02-05,76125000.0,1083000,434587000.0,178306000.0,-39504000.0,32658000.0
UTI,2021-03-31,2021-05-07,77709000.0,-1547000,440345000.0,176458000.0,7118000.0,32762000.0
UTI,2021-06-30,2021-08-03,83768000.0,3000000,475010000.0,177197000.0,-7070000.0,33036000.0
UTI,2021-09-30,2021-12-02,97481000.0,12045000,512570000.0,188530000.0,33335000.0,34036000.0
UTI,2021-12-31,2022-02-04,105075000.0,14822000,533538000.0,202607000.0,-8336000.0,33572000.0
UTI,2022-03-31,2022-05-05,102086000.0,7354000,517353000.0,210735000.0,-34413000.0,33436000.0
UTI,2022-06-30,2022-08-04,100966000.0,843000,540282000.0,211644000.0,-18953000.0,33257000.0
UTI,2022-09-30,2022-12-12,110638000.0,2829000,552911000.0,215397000.0,28283000.0,34707000.0
UTI,2022-12-31,2023-02-09,120004000.0,2648000,748073000.0,217286000.0,-3970000.0,34408000.0
UTI,2023-03-31,2023-05-09,163820000.0,3480000,712715000.0,220867000.0,-38986000.0,34553000.0
UTI,2023-06-30,2023-08-08,153286000.0,-509000,706736000.0,220128000.0,-10624000.0,34252000.0
UTI,2023-09-30,2023-12-01,170298000.0,6703000,740685000.0,225967000.0,46043000.0,34710000.0
UTI,2023-12-31,2024-02-08,174695000.0,10389000,732413000.0,222185000.0,6988000.0,37439000.0
UTI,2024-03-31,2024-05-09,184176000.0,7787000,702088000.0,232613000.0,-8402000.0,54770000.0
UTI,2024-06-30,2024-08-07,177458000.0,4985000,706041000.0,239383000.0,3006000.0,54951000.0
UTI,2024-09-30,2024-12-05,196358000.0,18840000,744575000.0,260231000.0,60005000.0,56244000.0
UTI,2024-12-31,2025-02-06,201429000.0,22153000,753756000.0,279976000.0,19617000.0,55406000.0
UTI,2025-03-31,2025-05-08,207447000.0,11446000,720443000.0,293913000.0,-11736000.0,55442000.0
