ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
VCYT,2020-06-30,2020-07-30,20704000.0,-11025000,256737000.0,226147000.0,-9072000.0,50212123.0
VCYT,2020-09-30,2020-11-02,31121000.0,-4124000,454151000.0,422725000.0,1117000.0,54858052.0
VCYT,2020-12-31,2021-02-22,34536000.0,-8044000,457163000.0,421232000.0,1373000.0,58094118.0
VCYT,2021-03-31,2021-05-10,36703000.0,-41868000,1025136000.0,974231000.0,-41757000.0,63353715.0
VCYT,2021-06-30,2021-07-29,55105000.0,-9038000,1027435000.0,971177000.0,360000.0,67316065.0
VCYT,2021-09-30,2021-11-09,60370000.0,-14129000,1186356000.0,1107080000.0,-3205000.0,69743733.0
VCYT,2021-12-31,2022-02-28,67336000.0,-10528000,1187825000.0,1096514000.0,7605000.0,78512970.0
VCYT,2022-03-31,2022-05-04,67783000.0,-14461000,1173589000.0,1085190000.0,-11325000.0,71064467.0
VCYT,2022-06-30,2022-08-03,72864000.0,-9532000,1144198000.0,1064151000.0,-2873000.0,71476966.0
VCYT,2022-09-30,2022-11-03,75592000.0,-8723000,1125957000.0,1048177000.0,5312000.0,71656694.0
VCYT,2022-12-31,2023-03-01,80297000.0,-3844000,1156422000.0,1075200000.0,7872000.0,71998689.0
VCYT,2023-03-31,2023-05-05,82422000.0,-8091000,1157119000.0,1081259000.0,-3165000.0,72175457.0
VCYT,2023-06-30,2023-08-09,90322000.0,-8402000,1161114000.0,1082718000.0,13002000.0,72478662.0
VCYT,2023-09-30,2023-11-08,90108000.0,-29618000,1124943000.0,1054059000.0,11369000.0,72804770.0
VCYT,2023-12-31,2024-02-29,98199000.0,-28293000,1114906000.0,1044102000.0,13055000.0,73119059.0
VCYT,2024-03-31,2024-05-08,96844000.0,-1864000,1200073000.0,1118649000.0,-11100000.0,76037009.0
VCYT,2024-06-30,2024-08-07,114428000.0,5734000,1234327000.0,1132523000.0,26805000.0,77163149.0
VCYT,2024-09-30,2024-11-07,115860000.0,15155000,1275021000.0,1176042000.0,27721000.0,78464654.0
VCYT,2024-12-31,2025-02-28,118632000.0,5113000,1300035000.0,1175966000.0,20383000.0,80633177.0
VCYT,2025-03-31,2025-05-08,114473000.0,7047000,1315411000.0,1194936000.0,3543000.0,80056024.0
