ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
VNDA,2020-06-30,2020-08-06,62207000.0,8714000,506631000.0,431584000.0,23796000.0,55081397.0
VNDA,2020-09-30,2020-10-29,60308000.0,5947000,515905000.0,440572000.0,9128000.0,55209032.0
VNDA,2020-12-31,2021-02-11,67653000.0,8190000,533456000.0,453266000.0,18336000.0,55602633.0
VNDA,2021-03-31,2021-05-06,62669000.0,8650000,543191000.0,467627000.0,9063000.0,56505087.0
VNDA,2021-06-30,2021-07-29,67899000.0,9653000,567645000.0,481220000.0,18719000.0,56903340.0
VNDA,2021-09-30,2021-11-04,70095000.0,7771000,579767000.0,493321000.0,9387000.0,57040736.0
VNDA,2021-12-31,2022-02-24,68019000.0,7078000,593792000.0,504928000.0,20827000.0,57238181.0
VNDA,2022-03-31,2022-05-06,60192000.0,-6430000,603558000.0,502123000.0,3971000.0,56105239.0
VNDA,2022-06-30,2022-08-04,64390000.0,2574000,609102000.0,508549000.0,5492000.0,56821024.0
VNDA,2022-09-30,2022-11-03,65318000.0,3270000,621788000.0,515657000.0,12689000.0,56969033.0
VNDA,2022-12-31,2023-02-09,64482000.0,6861000,634247000.0,527198000.0,9153000.0,58037388.0
VNDA,2023-03-31,2023-05-03,62498000.0,3252000,644532000.0,535739000.0,19241000.0,57400152.0
VNDA,2023-06-30,2023-07-28,46056000.0,1520000,641682000.0,539898000.0,-9473000.0,57535615.0
VNDA,2023-09-30,2023-11-09,38815000.0,137000,641605000.0,543100000.0,1005000.0,57595344.0
VNDA,2023-12-31,2024-02-08,45271000.0,-2400000,648440000.0,544910000.0,-1547000.0,57700533.0
VNDA,2024-03-31,2024-05-09,47462000.0,-4146000,652682000.0,543995000.0,7562000.0,57760940.0
VNDA,2024-06-30,2024-08-01,50474000.0,-4518000,651371000.0,542516000.0,-7036000.0,58220838.0
VNDA,2024-09-30,2024-11-07,47651000.0,-5324000,645115000.0,541223000.0,-14742000.0,58261961.0
VNDA,2024-12-31,2025-02-14,53185000.0,-4912000,656204000.0,538546000.0,-13622000.0,58352609.0
VNDA,2025-03-31,2025-05-08,50041000.0,-29494000,631936000.0,511417000.0,-33583000.0,58527775.0
