ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
VRDN,2020-06-30,2020-08-05,168000.0,-6435000,33485000.0,21171000.0,-6790000.0,236018.0
VRDN,2020-09-30,2020-11-12,,-5494000,32833000.0,21042000.0,-5148000.0,248071.0
VRDN,2020-12-31,2021-03-26,54000.0,-90742000,131255000.0,120037000.0,-9446000.0,13541952.0
VRDN,2021-03-31,2021-05-07,1451000.0,-18460000,122832000.0,105998000.0,-11554000.0,6336347.0
VRDN,2021-06-30,2021-08-12,1090000.0,-17964000,118202000.0,98912000.0,-14652000.0,8106765.0
VRDN,2021-09-30,2021-11-05,208000.0,-14043000,221205000.0,204591000.0,-12059000.0,11183578.0
VRDN,2021-12-31,2022-03-11,214000.0,-28946000,203709000.0,187716000.0,-16617000.0,22048158.0
VRDN,2022-03-31,2022-05-13,216000.0,-25693000,183165000.0,166642000.0,-21221000.0,26126092.0
VRDN,2022-06-30,2022-08-15,256000.0,-29491000,169814000.0,141898000.0,-18378000.0,27762257.0
VRDN,2022-09-30,2022-11-14,1195000.0,-28905000,440580000.0,409007000.0,-20763000.0,33742076.0
VRDN,2022-12-31,2023-03-09,105000.0,-45785000,435091000.0,395064000.0,-34273000.0,40718747.0
VRDN,2023-03-31,2023-05-10,98000.0,-68151000,386642000.0,350549000.0,-62088000.0,42242309.0
VRDN,2023-06-30,2023-08-08,72000.0,-55063000,351467000.0,315857000.0,-45545000.0,43253457000.0
VRDN,2023-09-30,2023-11-13,72000.0,-47660000,328757000.0,283576000.0,-39901000.0,43654577.0
VRDN,2023-12-31,2024-02-27,72000.0,-66860000,490424000.0,442022000.0,-37534000.0,44755475.0
VRDN,2024-03-31,2024-05-08,72000.0,-48542000,630381000.0,582530000.0,,61099038.0
VRDN,2024-06-30,2024-08-08,72000.0,-64993000,585663000.0,529338000.0,-46162000.0,63854514.0
VRDN,2024-09-30,2024-11-12,86000.0,-76689000,771900000.0,707496000.0,-67999000.0,66420063.0
VRDN,2024-12-31,2025-03-03,72000.0,-79725000,742403000.0,671639000.0,-73446000.0,80169709.0
VRDN,2025-03-31,2025-05-06,72000.0,-86912000,660981000.0,604473000.0,-92739000.0,81344134.0
