ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
VRTS,2020-06-30,2020-08-06,132894000.0,11279000,3340087000.0,757198000.0,-198042000.0,7895000.0
VRTS,2020-09-30,2020-11-05,154790000.0,29648000,3390724000.0,787289000.0,67748000.0,7997000.0
VRTS,2020-12-31,2021-02-26,171646000.0,43315000,3466943000.0,836453000.0,156545000.0,8590000.0
VRTS,2021-03-31,2021-05-06,216897000.0,36588000,3702159000.0,851177000.0,4352000.0,8052000.0
VRTS,2021-06-30,2021-08-06,244011000.0,62967000,3692822000.0,921362000.0,89651000.0,8007000.0
VRTS,2021-09-30,2021-11-09,252064000.0,58736000,3777924000.0,952779000.0,124786000.0,7984000.0
VRTS,2021-12-31,2022-02-25,266262000.0,49840000,3934181000.0,975592000.0,432782000.0,7969000.0
VRTS,2022-03-31,2022-05-10,252440000.0,33059000,3701866000.0,962971000.0,-34844000.0,7839000.0
VRTS,2022-06-30,2022-08-09,225307000.0,17402000,3543915000.0,930852000.0,-349567000.0,7607000.0
VRTS,2022-09-30,2022-11-08,210261000.0,31680000,3546037000.0,930381000.0,-80974000.0,7463000.0
VRTS,2022-12-31,2023-02-27,198371000.0,35400000,3952934000.0,936654000.0,719315000.0,7419000.0
VRTS,2023-03-31,2023-05-09,197874000.0,38624000,3698047000.0,950927000.0,-367569000.0,7410000.0
VRTS,2023-06-30,2023-08-09,213536000.0,30257000,3645609000.0,967108000.0,467380000.0,7385000.0
VRTS,2023-09-30,2023-11-08,219271000.0,30906000,3765299000.0,963818000.0,123759000.0,7379000.0
VRTS,2023-12-31,2024-02-28,214587000.0,30834000,3678629000.0,973158000.0,3342000.0,7326000.0
VRTS,2024-03-31,2024-05-08,222042000.0,29858000,3548125000.0,991188000.0,-365099000.0,7287000.0
VRTS,2024-06-30,2024-08-08,224384000.0,17614000,3647696000.0,1001568000.0,-238590000.0,7242000.0
VRTS,2024-09-30,2024-11-08,227029000.0,40980000,3601685000.0,990833000.0,-204866000.0,7176000.0
VRTS,2024-12-31,2025-02-28,233494000.0,33294000,3994494000.0,1008918000.0,800156000.0,7135000.0
VRTS,2025-03-31,2025-05-09,217932000.0,28647000,3687689000.0,1016827000.0,-384306000.0,7073000.0
