ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
VSTO,2020-06-30,2020-08-06,479140000.0,40476000,1388446000.0,489505000.0,72911000.0,58957000.0
VSTO,2020-09-30,2020-11-05,575179000.0,79645000,1431321000.0,574637000.0,115274000.0,59314000.0
VSTO,2020-12-31,2021-02-04,574679000.0,78879000,1528745000.0,658728000.0,101556000.0,60101000.0
VSTO,2021-03-31,2021-05-20,596524000.0,67012000,1764939000.0,736997000.0,25566000.0,61248000.0
VSTO,2021-06-30,2021-07-29,662912000.0,102725000,1851803000.0,800679000.0,21902000.0,59938000.0
VSTO,2021-09-30,2021-11-04,778460000.0,139540000,2017957000.0,935013000.0,68847000.0,59216000.0
VSTO,2021-12-31,2022-02-03,794654000.0,118137000,2361868000.0,1030325000.0,104272000.0,59905000.0
VSTO,2022-03-31,2022-05-24,808595000.0,112824000,2396201000.0,1124399000.0,80919000.0,59905000.0
VSTO,2022-06-30,2022-07-28,802612000.0,126015000,2457069000.0,1249312000.0,102710000.0,58381000.0
VSTO,2022-09-30,2022-11-03,781678000.0,93455000,3397923000.0,1349451000.0,77778000.0,57814000.0
VSTO,2022-12-31,2023-02-03,754775000.0,65147000,3329705000.0,1420652000.0,101914000.0,57843000.0
VSTO,2023-03-31,2023-05-25,740742000.0,-294335000,2798882000.0,1131793000.0,165020000.0,52362000.0
VSTO,2023-06-30,2023-07-27,693333000.0,58100000,2809725000.0,1180002000.0,66214000.0,58541000.0
VSTO,2023-09-30,2023-11-02,676808000.0,44422000,2746799000.0,1225744000.0,28038000.0,58299000.0
VSTO,2023-12-31,2024-02-01,682253000.0,-148195000,2453601000.0,1082905000.0,126736000.0,58078000.0
VSTO,2024-03-31,2024-05-29,693669000.0,40168000,2402380000.0,1126297000.0,149693000.0,58210000.0
VSTO,2024-06-30,2024-08-09,644181000.0,57120000,2363793000.0,1186259000.0,51481000.0,58641000.0
VSTO,2024-09-30,2024-11-07,665915000.0,41798000,2353633000.0,1231715000.0,19039000.0,58786000.0
