ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
VTYX,2021-09-30,2021-11-18,,-12774000,148709000.0,136900000.0,-11244000.0,52471003.0
VTYX,2021-12-31,2022-03-24,,-17768000,291482000.0,279199000.0,-14735000.0,52471003.0
VTYX,2022-03-31,2022-05-12,,-22732000,277953000.0,259123000.0,-12764000.0,52471003.0
VTYX,2022-06-30,2022-08-15,,-20018000,262185000.0,243152000.0,-14820000.0,52471003.0
VTYX,2022-09-30,2022-11-04,,-30462000,420445000.0,383533000.0,-24086000.0,52471003.0
VTYX,2022-12-31,2023-03-23,,-35214000,371400000.0,353895000.0,-47376000.0,52471003.0
VTYX,2023-03-31,2023-05-11,,-38931000,389169000.0,371618000.0,-30981000.0,57638923.0
VTYX,2023-06-30,2023-08-10,,-53251000,348763000.0,327807000.0,-49477000.0,58556529.0
VTYX,2023-09-30,2023-11-09,,-54027000,321701000.0,283640000.0,-34712000.0,58880427.0
VTYX,2023-12-31,2024-02-27,,-46753000,277693000.0,243923000.0,-51866000.0,59096017.0
VTYX,2024-03-31,2024-05-09,,-38572000,332078000.0,306996000.0,-47800000.0,61829976.0
VTYX,2024-06-30,2024-08-08,,-31950000,309193000.0,280795000.0,-24598000.0,70554718.0
VTYX,2024-09-30,2024-11-07,,-35249000,301100000.0,278772000.0,-35461000.0,70667570.0
VTYX,2024-12-31,2025-02-27,,-29351000,276563000.0,254045000.0,-23255000.0,70860424.0
VTYX,2025-03-31,2025-05-08,,-27440000,253480000.0,231633000.0,-25734000.0,71131439.0
