ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
VVV,2020-06-30,2020-08-04,516000000.0,59000000,2963000000.0,-188000000.0,80000000.0,186000000.0
VVV,2020-09-30,2020-11-24,-974000000.0,121600000,3051000000.0,-76000000.0,100700000.0,189000000.0
VVV,2020-12-31,2021-02-04,653000000.0,87000000,3156000000.0,-55000000.0,44000000.0,186000000.0
VVV,2021-03-31,2021-04-29,701000000.0,68000000,2921000000.0,-56000000.0,72000000.0,183000000.0
VVV,2021-06-30,2021-08-05,792000000.0,97000000,3049000000.0,23000000.0,74000000.0,184000000.0
VVV,2021-09-30,2021-11-19,-1108800000.0,168300000,3191000000.0,134500000.0,105000000.0,182000000.0
VVV,2021-12-31,2022-02-09,287300000.0,87000000,3183000000.0,167000000.0,-200000.0,182000000.0
VVV,2022-03-31,2022-05-10,296000000.0,81400000,3248000000.0,200000000.0,38300000.0,182000000.0
VVV,2022-06-30,2022-08-04,317400000.0,98200000,3348000000.0,226000000.0,63600000.0,181000000.0
VVV,2022-09-30,2022-11-23,335400000.0,157700000,3416800000.0,306600000.0,50500000.0,183000000.0
VVV,2022-12-31,2023-02-07,332800000.0,81900000,3551500000.0,289300000.0,-48600000.0,178600000.0
VVV,2023-03-31,2023-05-10,344500000.0,1227300000,4280400000.0,1372400000.0,79300000.0,172700000.0
VVV,2023-06-30,2023-08-09,376200000.0,61600000,2985500000.0,285400000.0,-205000000.0,162500000.0
VVV,2023-09-30,2023-11-20,390000000.0,48900000,2889900000.0,203200000.0,-47000000.0,136600000.0
VVV,2023-12-31,2024-02-06,373400000.0,31900000,2709300000.0,64800000.0,-22400000.0,132700000.0
VVV,2024-03-31,2024-05-10,388700000.0,41400000,2763000000.0,60100000.0,23400000.0,130700000.0
VVV,2024-06-30,2024-08-07,421400000.0,45900000,2375600000.0,106500000.0,9800000.0,130200000.0
VVV,2024-09-30,2024-11-22,435500000.0,92300000,2438700000.0,185600000.0,29900000.0,130400000.0
VVV,2024-12-31,2025-02-06,414300000.0,91600000,2349800000.0,229800000.0,-12400000.0,129500000.0
VVV,2025-03-31,2025-05-08,403200000.0,37600000,2452600000.0,248700000.0,-4600000.0,128200000.0
