ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
WCC,2020-06-30,2020-08-17,2086706000.0,-34506000,11732014000.0,3100401000.0,89759000.0,42775000.0
WCC,2020-09-30,2020-11-09,4141801000.0,80678000,11868339000.0,3213224000.0,270851000.0,50487000.0
WCC,2020-12-31,2021-03-01,4128841000.0,19982000,11880214000.0,3336389000.0,113315000.0,51163000.0
WCC,2021-03-31,2021-05-07,4041477000.0,59178000,11878270000.0,3399703000.0,110279000.0,51708000.0
WCC,2021-06-30,2021-08-06,4595790000.0,119195000,12299079000.0,3525001000.0,-27675000.0,51917000.0
WCC,2021-09-30,2021-11-05,4728325000.0,119596000,12481018000.0,3581817000.0,64896000.0,52063000.0
WCC,2021-12-31,2022-02-25,4851908000.0,167431000,12617699000.0,3776211000.0,-129800000.0,52564000.0
WCC,2022-03-31,2022-05-06,4932200000.0,181200000,13185033000.0,3967478000.0,-187200000.0,52269000.0
WCC,2022-06-30,2022-08-05,5483500000.0,220700000,13863266000.0,4111307000.0,-148900000.0,52269000.0
WCC,2022-09-30,2022-11-04,5445900000.0,239600000,14080564000.0,4191946000.0,-133900000.0,52269000.0
WCC,2022-12-31,2023-02-21,5558500000.0,218900000,14811700000.0,4449400000.0,381600000.0,52400000.0
WCC,2023-03-31,2023-05-05,5521900000.0,197100000,14971200000.0,4589700000.0,-269300000.0,52500000.0
WCC,2023-06-30,2023-08-07,5745500000.0,193100000,15162700000.0,4800300000.0,287200000.0,52400000.0
WCC,2023-09-30,2023-11-02,5644400000.0,233400000,15168600000.0,4882500000.0,342400000.0,52200000.0
WCC,2023-12-31,2024-02-20,5473400000.0,141900000,15060900000.0,5031900000.0,40600000.0,52100000.0
WCC,2024-03-31,2024-05-02,5350000000.0,115800000,15539000000.0,4977800000.0,725900000.0,51900000.0
WCC,2024-06-30,2024-08-01,5479700000.0,232100000,15108500000.0,4851300000.0,-244600000.0,50900000.0
WCC,2024-09-30,2024-10-31,5489400000.0,204300000,15275000000.0,5036800000.0,272900000.0,49800000.0
WCC,2024-12-31,2025-02-14,5499700000.0,165400000,15061400000.0,4965500000.0,252300000.0,49800000.0
WCC,2025-03-31,2025-05-01,5343700000.0,118400000,15515100000.0,5030100000.0,7600000.0,49600000.0
