ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
WEC,2020-06-30,2020-08-06,1548700000.0,241900000,35042000000.0,10492700000.0,148800000.0,316500000.0
WEC,2020-09-30,2020-11-06,1651000000.0,267100000,35422000000.0,10559100000.0,-3700000.0,316500000.0
WEC,2020-12-31,2021-02-25,1933400000.0,239300000,37028099999.0,7051700000.0,-363300000.0,316300000.0
WEC,2021-03-31,2021-05-06,2691400000.0,510400000,37600600000.0,10967600000.0,-64100000.0,316200000.0
WEC,2021-06-30,2021-08-05,1676200000.0,276300000,37794900000.0,11030400000.0,301000000.0,316400000.0
WEC,2021-09-30,2021-11-04,1746500000.0,290300000,38400900000.0,11106599999.0,163500000.0,316300000.0
WEC,2021-12-31,2022-02-24,2201900000.0,224500000,38988500000.0,24637000000.0,-598600000.0,316300000.0
WEC,2022-03-31,2022-05-05,2908100000.0,566200000,38974500000.0,7829900000.0,703000000.0,316200000.0
WEC,2022-06-30,2022-08-04,2127900000.0,287800000,39607099999.0,21571600000.0,95800000.0,316200000.0
WEC,2022-09-30,2022-11-03,2003000000.0,302300000,40761000000.0,26506800000.0,-371000000.0,316200000.0
WEC,2022-12-31,2023-02-23,2558400000.0,253000000,41872100000.0,26382800000.0,-613000000.0,315800000.0
WEC,2023-03-31,2023-05-04,2888100000.0,507400000,42795900000.0,11987700000.0,296700000.0,315900000.0
WEC,2023-06-30,2023-08-03,1830000000.0,290000000,43019300000.0,12031400000.0,414300000.0,315900000.0
WEC,2023-09-30,2023-11-02,1957400000.0,316300000,43441700000.0,12100300000.0,128300000.0,315800000.0
WEC,2023-12-31,2024-02-22,2217500000.0,218800000,43939700000.0,27438400000.0,-313800000.0,316000000.0
WEC,2024-03-31,2024-05-03,2680200000.0,622600000,43927200000.0,27801900000.0,550300000.0,315900000.0
WEC,2024-06-30,2024-07-31,1772000000.0,211600000,44582200000.0,29302200000.0,212300000.0,316200000.0
WEC,2024-09-30,2024-11-01,1863500000.0,240400000,45196500000.0,29280400000.0,-67300000.0,316500000.0
WEC,2024-12-31,2025-02-21,2284200000.0,453800000,47363200000.0,12801900000.0,-264600000.0,317400000.0
WEC,2025-03-31,2025-05-07,3149500000.0,724500000,48232100000.0,29588800000.0,470400000.0,319300000.0
