ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
WES,2020-06-30,2020-08-10,671755000.0,273037000,11953243000.0,2935517000.0,205439000.0,443973000.0
WES,2020-09-30,2020-11-09,679044000.0,251740000,11689675000.0,2790456000.0,333697000.0,438857000.0
WES,2020-12-31,2021-02-26,647480000.0,255788000,11830027000.0,2895212000.0,416761000.0,415415000.0
WES,2021-03-31,2021-05-10,674974000.0,185791000,11435043000.0,2942120000.0,199767000.0,413104000.0
WES,2021-06-30,2021-08-09,719131000.0,231259000,11626299000.0,3052873000.0,389625000.0,413104000.0
WES,2021-09-30,2021-11-09,763840000.0,255725000,11410090000.0,3091359000.0,301923000.0,412714000.0
WES,2021-12-31,2022-02-23,719210000.0,243517000,11273079000.0,3095760000.0,581049000.0,412714000.0
WES,2022-03-31,2022-05-10,758297000.0,308717000,11445873000.0,3270807000.0,196986000.0,408454000.0
WES,2022-06-30,2022-08-03,876419000.0,306317000,11388859000.0,3305003000.0,355139000.0,404162000.0
WES,2022-09-30,2022-11-02,837568000.0,265745000,11472582000.0,3005686000.0,312689000.0,390318000.0
WES,2022-12-31,2023-02-22,779437000.0,336324000,11271628000.0,3108115000.0,369263000.0,382010000.0
WES,2023-03-31,2023-05-03,733982000.0,203645000,11112488000.0,3101564000.0,110990000.0,396236000.0
WES,2023-06-30,2023-08-08,738273000.0,252921000,11218950000.0,3022163000.0,328542000.0,385510000.0
WES,2023-09-30,2023-11-01,776013000.0,277296000,11626554000.0,2955092000.0,179356000.0,384772000.0
WES,2023-12-31,2024-02-21,858208000.0,288354000,12471607000.0,3029130000.0,274950000.0,384772000.0
WES,2024-03-31,2024-05-08,887729000.0,572830000,12265470000.0,3376291000.0,67000.0,384772000.0
WES,2024-06-30,2024-08-07,905629000.0,378648000,12180501000.0,3424009000.0,611153000.0,384772000.0
WES,2024-09-30,2024-11-06,883362000.0,288480000,12981224000.0,3377517000.0,357330000.0,384772000.0
WES,2024-12-31,2025-02-26,928503000.0,333613000,13144785000.0,3375170000.0,330525000.0,384772000.0
WES,2025-03-31,2025-05-07,917116000.0,309007000,12456877000.0,3333571000.0,378996000.0,384772000.0
