ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
WEYS,2020-06-30,2020-08-10,16646000.0,-8883000,260337000.0,196272000.0,-3247000.0,9745000.0
WEYS,2020-09-30,2020-11-09,53178000.0,-5869000,256580000.0,189295000.0,-6261000.0,9756000.0
WEYS,2020-12-31,2021-03-12,61967000.0,5105000,256719000.0,187925000.0,32925000.0,9745000.0
WEYS,2021-03-31,2021-05-10,46900000.0,1325000,252715000.0,186420000.0,14096000.0,9686000.0
WEYS,2021-06-30,2021-08-09,57564000.0,3820000,252214000.0,188135000.0,12603000.0,9686000.0
WEYS,2021-09-30,2021-11-09,61798000.0,5069000,256418000.0,190783000.0,-17688000.0,9702000.0
WEYS,2021-12-31,2022-03-11,101379000.0,10341000,277667000.0,201395000.0,-3626000.0,9698000.0
WEYS,2022-03-31,2022-05-09,81360000.0,4053000,261786000.0,202368000.0,-121000.0,9647000.0
WEYS,2022-06-30,2022-08-08,74359000.0,4495000,268760000.0,203437000.0,-19317000.0,9664000.0
WEYS,2022-09-30,2022-11-07,96971000.0,10770000,310720000.0,210025000.0,-24145000.0,9605000.0
WEYS,2022-12-31,2023-03-13,99047000.0,10222000,326620000.0,223905000.0,11337000.0,9580000.0
WEYS,2023-03-31,2023-05-10,86294000.0,7445000,307709000.0,227668000.0,22327000.0,9545000.0
WEYS,2023-06-30,2023-08-09,67014000.0,4864000,287028000.0,230079000.0,19873000.0,9542000.0
WEYS,2023-09-30,2023-11-09,84150000.0,9337000,288860000.0,235383000.0,18173000.0,9530000.0
WEYS,2023-12-31,2024-03-14,80590000.0,8542000,309342000.0,244493000.0,34949000.0,9523000.0
WEYS,2024-03-31,2024-05-09,71558000.0,6650000,303271000.0,248108000.0,14166000.0,9580000.0
WEYS,2024-06-30,2024-08-08,63932000.0,5607000,303819000.0,251204000.0,3158000.0,9548000.0
WEYS,2024-09-30,2024-11-08,74329000.0,8063000,314688000.0,258123000.0,-930000.0,9599000.0
WEYS,2024-12-31,2025-03-14,80471000.0,10000000,324086000.0,245585000.0,19949000.0,9669000.0
WEYS,2025-03-31,2025-05-09,68030000.0,5545000,299295000.0,248550000.0,3712000.0,9664000.0
