ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
WTRH,2020-06-30,2020-08-06,60506000.0,10653000,215380000.0,66692000.0,11627000.0,5297562.0
WTRH,2020-09-30,2020-11-09,52734000.0,4644000,222556000.0,80688000.0,10045000.0,6189288.0
WTRH,2020-12-31,2021-03-08,46845000.0,2641000,232232000.0,88096000.0,8277000.0,6303919.0
WTRH,2021-03-31,2021-05-06,50930000.0,-3712000,245673000.0,97236000.0,12653000.0,5616705.0
WTRH,2021-06-30,2021-08-09,49167000.0,-5641000,241872000.0,92944000.0,-7293000.0,5782240.0
WTRH,2021-09-30,2021-11-02,43448000.0,12250000,239954000.0,117797000.0,-6631000.0,6508365.0
WTRH,2021-12-31,2022-03-11,38649000.0,-8126000,259107000.0,134489000.0,-4822000.0,8126150.0
WTRH,2022-03-31,2022-05-09,35040000.0,-77216000,183147000.0,65179000.0,-7261000.0,6716930.0
WTRH,2022-06-30,2022-08-08,31171000.0,-11671000,154508000.0,57618000.0,-6629000.0,8026589.0
WTRH,2022-09-30,2022-11-09,25141000.0,-73462000,90651000.0,3835000.0,-8006000.0,9188320.0
WTRH,2022-12-31,2023-04-17,20449000.0,-44440000,48145000.0,-37091000.0,-7069000.0,9188320.0
WTRH,2023-03-31,2023-05-11,16704000.0,-7468000,38672000.0,-43349000.0,-4842000.0,13496985000.0
WTRH,2023-06-30,2023-08-18,13951000.0,-12952000,25374000.0,-54964000.0,-918000.0,13496985000.0
WTRH,2023-09-30,2023-11-13,11480000.0,-5206000,21585000.0,-59065000.0,-311000.0,13496985000.0
