ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
WWE,2020-06-30,2020-07-31,223405000.0,43789000,1295126000.0,345455000.0,67756000.0,83859000.0
WWE,2020-09-30,2020-10-29,221595000.0,48278000,1354267000.0,382223000.0,110777000.0,84125000.0
WWE,2020-12-31,2021-02-04,238198000.0,13531000,1297322000.0,383994000.0,56101000.0,83792000.0
WWE,2021-03-31,2021-04-22,263524000.0,43832000,1177056000.0,357281000.0,53739000.0,85686000.0
WWE,2021-06-30,2021-07-29,265540000.0,29201000,1165937000.0,360939000.0,13377000.0,85518000.0
WWE,2021-09-30,2021-11-04,255853000.0,43486000,1166613000.0,372763000.0,44838000.0,84264000.0
WWE,2021-12-31,2022-02-03,310257000.0,60889000,1204067000.0,374660000.0,31740000.0,81332000.0
WWE,2022-03-31,2022-05-05,333448000.0,66041000,1245348000.0,405844000.0,69634000.0,83700000.0
WWE,2022-06-30,2022-08-15,328135000.0,49099000,1279054000.0,440832000.0,9479000.0,83700000.0
WWE,2022-09-30,2022-11-02,304640000.0,41620000,1333086000.0,470925000.0,3550000.0,88200000.0
WWE,2022-12-31,2023-02-02,325300000.0,38828000,1355569000.0,516940000.0,43077000.0,88163000.0
WWE,2023-03-31,2023-05-03,297551000.0,36678000,1386730000.0,586381000.0,-20648000.0,89300000.0
WWE,2023-06-30,2023-08-02,410374000.0,52001000,1507220000.0,909000000.0,31097000.0,79295000.0
