ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
WWR,2020-06-30,2020-08-05,,-2467000,27614000.0,17629000.0,-2697000.0,5786117.0
WWR,2020-09-30,2020-11-12,,-9751000,25403000.0,15259000.0,-4089000.0,7904522.0
WWR,2020-12-31,2021-02-16,,-8069000,61937000.0,57471000.0,-5075000.0,17501173.0
WWR,2021-03-31,2021-05-12,,-5390000,129629000.0,124225000.0,,28597938.0
WWR,2021-06-30,2021-08-11,,-3480000,131938000.0,126609000.0,,32431919.0
WWR,2021-09-30,2021-11-10,,-4568000,133756000.0,126342000.0,-4026000.0,34331778.0
WWR,2021-12-31,2022-02-11,,-2706000,132983000.0,126198000.0,-7110000.0,35250721.0
WWR,2022-03-31,2022-05-10,,-2809000,148581000.0,138979000.0,-14824000.0,36757352.0
WWR,2022-06-30,2022-08-10,,-3155000,153595000.0,145113000.0,-15940000.0,47083720.0
WWR,2022-09-30,2022-11-09,,-3453000,165205000.0,143056000.0,-9793000.0,47462656.0
WWR,2022-12-31,2023-03-06,,-1704000,168408000.0,141968000.0,-25409000.0,48334272.0
WWR,2023-03-31,2023-05-10,,2390000,160093000.0,140862000.0,-36916000.0,49443120.0
WWR,2023-06-30,2023-08-14,,3626000,146640000.0,138949000.0,-23862000.0,51120597000.0
WWR,2023-09-30,2023-11-14,,3522000,147515000.0,136931000.0,-6701000.0,52989857.0
WWR,2023-12-31,2024-03-19,,-1787000,149831000.0,140443000.0,-2246000.0,52037463.0
WWR,2024-03-31,2024-05-14,,2898000,147179000.0,138301000.0,-5267000.0,56086899.0
WWR,2024-06-30,2024-08-14,,3819000,144279000.0,134917000.0,-3136000.0,57427333.0
WWR,2024-09-30,2024-11-14,,3108000,143489000.0,132531000.0,1107000.0,58435205.0
WWR,2024-12-31,2025-03-20,,2832000,146357000.0,133122000.0,-3156000.0,62203119.0
WWR,2025-03-31,2025-05-14,,2676000,147441000.0,134881000.0,-5242000.0,67919882.0
