ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ZEN,2020-06-30,2020-07-31,246664000.0,-64656000,1996018000.0,410309000.0,-56333000.0,114600000.0
ZEN,2020-09-30,2020-10-30,261926000.0,-40703000,2054239000.0,430119000.0,29462000.0,115809000.0
ZEN,2020-12-31,2021-02-12,283498000.0,-70036000,2157279000.0,431831000.0,42969000.0,117013000.0
ZEN,2021-03-31,2021-05-03,298048000.0,-48965000,2175108000.0,430243000.0,30534000.0,117912000.0
ZEN,2021-06-30,2021-07-30,318216000.0,-58407000,2249062000.0,464127000.0,23982000.0,117912000.0
ZEN,2021-09-30,2021-11-01,346974000.0,-54417000,2321240000.0,468276000.0,68737000.0,120164000.0
ZEN,2021-12-31,2022-02-15,375365000.0,-61855000,2451279000.0,489218000.0,31362000.0,120164000.0
ZEN,2022-03-31,2022-04-29,388327000.0,-66946000,2437727000.0,327100000.0,3774000.0,121124000.0
ZEN,2022-06-30,2022-07-29,407208000.0,-95082000,2492109000.0,326821000.0,43613000.0,122841000.0
ZEN,2022-09-30,2022-10-28,416861000.0,-59093000,2476159000.0,346863000.0,27774000.0,123576000.0
