ticker,period_end,available_date,revenue,net_income,total_assets,equity,free_cash_flow,shares_outstanding
ZNOG,2020-06-30,2020-08-10,,-1924000,27875000.0,22679000.0,-1595000.0,172361000.0
ZNOG,2020-09-30,2020-11-12,,-1796000,39391000.0,33904000.0,-2549000.0,202877000.0
ZNOG,2020-12-31,2021-03-24,,-1668000,43503000.0,35109000.0,-13605000.0,235665000.0
ZNOG,2021-03-31,2021-05-13,,-2560000,44071000.0,36220000.0,-9189000.0,238941000.0
ZNOG,2021-06-30,2021-08-11,,-4056000,53560000.0,48300000.0,-8723000.0,248672000.0
ZNOG,2021-09-30,2021-11-10,,-2303000,56476000.0,51110000.0,-8859000.0,286390000.0
ZNOG,2021-12-31,2022-03-17,,-1802000,63431000.0,57376000.0,-8064000.0,335825000.0
ZNOG,2022-03-31,2022-05-10,,-2166000,69886000.0,66853000.0,-5768000.0,404817000.0
ZNOG,2022-06-30,2022-08-10,,-2597000,69891000.0,66242000.0,-5758000.0,471946000.0
ZNOG,2022-09-30,2022-11-10,,-2374000,72482000.0,67866000.0,-6153000.0,484678000.0
ZNOG,2022-12-31,2023-03-27,,-47940000,27515000.0,23100000.0,-4292000.0,509587000000.0
ZNOG,2023-03-31,2023-05-11,,-2139000,25859000.0,22178000.0,-1755000.0,531023000.0
ZNOG,2023-06-30,2023-08-10,,-2334000,24815000.0,21850000.0,-2366000.0,542812000000.0
ZNOG,2023-09-30,2023-11-09,,-1743000,24734000.0,22177000.0,-1833000.0,578497000.0
ZNOG,2023-12-31,2024-03-20,,-1745000,25181000.0,22018000.0,-1533000.0,618233000000.0
ZNOG,2024-03-31,2024-05-08,,-1762000,26815000.0,23127000.0,-2327000.0,667023.0
ZNOG,2024-06-30,2024-08-06,,-2064000,28813000.0,25138000.0,-2108000.0,745565.0
ZNOG,2024-09-30,2024-11-07,,-1791000,29866000.0,26605000.0,-4521000.0,843211000.0
ZNOG,2024-12-31,2025-03-27,,-1726000,31794000.0,28381000.0,-2606000.0,931449.0
ZNOG,2025-03-31,2025-05-08,,-1675000,35966000.0,32765000.0,-3149000.0,984562.0
