ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
AMZN,2009-03-31,2010-04-23,177000000,8314000000.0,2672000000,-585000000,55000000.0,-640000000.0
AMZN,2009-06-30,2009-07-24,142000000,7675000000.0,3256000000,468000000,78000000.0,390000000.0
AMZN,2009-09-30,2009-10-23,199000000,8972000000.0,3585000000,799000000,103000000.0,696000000.0
AMZN,2009-12-31,2010-01-29,384000000,13813000000.0,5257000000,2611000000,137000000.0,2474000000.0
AMZN,2010-03-31,2010-04-23,299000000,12042000000.0,5618000000,-1098000000,140000000.0,-1238000000.0
AMZN,2010-06-30,2010-07-23,207000000,12397000000.0,5857000000,250000000,196000000.0,54000000.0
AMZN,2010-09-30,2010-10-22,231000000,14162000000.0,6397000000,855000000,315000000.0,540000000.0
AMZN,2010-12-31,2011-01-28,416000000,18797000000.0,6864000000,3488000000,328000000.0,3160000000.0
AMZN,2011-03-31,2011-04-27,201000000,16882000000.0,7347000000,-1586000000,298000000.0,-1884000000.0
AMZN,2011-06-30,2011-07-27,191000000,17941000000.0,7765000000,423000000,433000000.0,-10000000.0
AMZN,2011-09-30,2011-10-26,63000000,19054000000.0,7766000000,797000000,529000000.0,268000000.0
AMZN,2011-12-31,2012-02-01,177000000,25278000000.0,7757000000,4269000000,550000000.0,3719000000.0
AMZN,2012-03-31,2012-04-27,130000000,20339000000.0,7271000000,-2438000000,386000000.0,-2824000000.0
AMZN,2012-06-30,2012-07-27,7000000,21022000000.0,7505000000,594000000,657000000.0,-63000000.0
AMZN,2012-09-30,2012-10-26,-274000000,22834000000.0,7553000000,943000000,716000000.0,227000000.0
AMZN,2012-12-31,2013-01-30,98000000,32555000000.0,8192000000,5081000000,2026000000.0,3055000000.0
AMZN,2013-03-31,2013-04-26,82000000,28377000000.0,8432000000,-2372000000,670000000.0,-3042000000.0
AMZN,2013-06-30,2013-07-26,-7000000,29623000000.0,8733000000,880000000,855000000.0,25000000.0
AMZN,2013-09-30,2013-10-25,-41000000,31861000000.0,9087000000,1388000000,1038000000.0,350000000.0
AMZN,2013-12-31,2014-01-31,240000000,40159000000.0,9746000000,5578000000,879000000.0,4699000000.0
AMZN,2014-03-31,2014-04-25,108000000,36364000000.0,10328000000,-2502000000,1080000000.0,-3582000000.0
AMZN,2014-06-30,2014-07-25,-126000000,37898000000.0,10602000000,862000000,1290000000.0,-428000000.0
AMZN,2014-09-30,2014-10-24,-437000000,40419000000.0,10336000000,1766000000,1378000000.0,388000000.0
AMZN,2014-12-31,2015-01-30,214000000,54505000000.0,10741000000,6715000000,1145000000.0,5570000000.0
AMZN,2015-03-31,2015-04-24,-57000000,50075000000.0,10873000000,-1499000000,871000000.0,-2370000000.0
AMZN,2015-06-30,2015-07-24,92000000,52440000000.0,11768000000,1997000000,1213000000.0,784000000.0
AMZN,2015-09-30,2015-10-23,79000000,56230000000.0,12430000000,2610000000,1195000000.0,1415000000.0
