ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
BA,2009-03-31,2010-04-21,610000000,53779000000.0,-1294000000.0,193000000.0,442000000.0,-249000000.0
BA,2009-06-30,2009-07-22,998000000,57712000000.0,180000000.0,,,
BA,2009-09-30,2009-10-21,-1564000000,58667000000.0,-1028000000.0,,,
BA,2009-12-31,2010-02-08,1268000000,62053000000.0,2128000000.0,3212000000.0,221000000.0,2991000000.0
BA,2010-03-31,2010-04-21,519000000,62970000000.0,2942000000.0,-285000000.0,186000000.0,-471000000.0
BA,2010-06-30,2010-07-28,787000000,63755000000.0,3077000000.0,,,
BA,2010-09-30,2010-10-20,837000000,65222000000.0,4454000000.0,,,
BA,2010-12-31,2011-02-09,1164000000,68565000000.0,2766000000.0,1116000000.0,400000000.0,716000000.0
BA,2011-03-31,2011-04-27,586000000,68760000000.0,3912000000.0,-953000000.0,417000000.0,-1370000000.0
BA,2011-06-30,2011-07-27,941000000,72119000000.0,4733000000.0,,,
BA,2011-09-30,2011-10-26,1098000000,74163000000.0,5967000000.0,,,
BA,2011-12-31,2012-02-09,1393000000,79986000000.0,3515000000.0,2931000000.0,571000000.0,2360000000.0
BA,2012-03-31,2012-04-25,923000000,80205000000.0,5027000000.0,837000000.0,424000000.0,413000000.0
BA,2012-06-30,2012-07-25,967000000,81595000000.0,5804000000.0,,,
BA,2012-09-30,2012-10-24,1032000000,83654000000.0,7588000000.0,,,
BA,2012-12-31,2013-02-11,978000000,88896000000.0,5867000000.0,4167000000.0,495000000.0,3672000000.0
BA,2013-03-31,2013-04-24,1106000000,90447000000.0,7462000000.0,524000000.0,521000000.0,3000000.0
BA,2013-06-30,2013-07-24,1088000000,92091000000.0,7526000000.0,,,
BA,2013-09-30,2013-10-23,1158000000,94633000000.0,8951000000.0,,,
BA,2013-12-31,2014-02-14,1233000000,92663000000.0,14875000000.0,1380000000.0,638000000.0,742000000.0
BA,2014-03-31,2014-04-23,965000000,91575000000.0,14520000000.0,1112000000.0,497000000.0,615000000.0
BA,2014-06-30,2014-07-23,1653000000,92737000000.0,14061000000.0,,,
BA,2014-09-30,2014-10-22,1362000000,92653000000.0,14511000000.0,,,
