ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
BEN,2009-06-30,2009-08-07,297716000,9242906000.0,7343517000,,,
BEN,2009-09-30,2009-11-24,367356000,9468463000.0,7632173000,152392000.0,12755000.0,139637000.0
BEN,2009-12-31,2010-02-08,355603000,9224129000.0,7135051000,317075000.0,9590000.0,307485000.0
BEN,2010-03-31,2010-05-06,356685000,9520582000.0,7384276000,,,
BEN,2010-06-30,2011-08-02,360495000,9520582000.0,7384276000,,,
BEN,2010-09-30,2010-11-16,372906000,10708088000.0,7726994000,311102000.0,4416000.0,306686000.0
BEN,2010-12-31,2011-02-08,501157000,12391955000.0,8129728000,245776000.0,54003000.0,191773000.0
BEN,2011-03-31,2011-05-03,503100000,12827382000.0,8413508000,,,
BEN,2011-06-30,2011-08-02,503347000,13150999000.0,8686499000,,,
BEN,2011-09-30,2011-11-15,415976000,13775843000.0,8524731000,613179000.0,47006000.0,566173000.0
BEN,2011-12-31,2012-02-01,480785000,13405487000.0,8273643000,167740000.0,26768000.0,140972000.0
BEN,2012-03-31,2012-05-02,503219000,13662808000.0,8689779000,,,
BEN,2012-06-30,2012-07-30,455267000,13634313000.0,8749329000,,,
BEN,2012-09-30,2012-11-15,492129000,14751500000.0,9201300000,180368000.0,-140253000.0,40115000.0
BEN,2012-12-31,2013-02-01,516100000,14354200000.0,8947800000,286400000.0,12300000.0,274100000.0
BEN,2013-03-31,2013-04-30,572800000,14810200000.0,9420000000,,,
BEN,2013-06-30,2013-07-29,552300000,15317200000.0,9779800000,,,
BEN,2013-09-30,2013-11-12,509000000,15390300000.0,10073100000,508100000.0,20600000.0,487500000.0
BEN,2013-12-31,2014-01-30,603800000,15909300000.0,10507100000,324700000.0,15000000.0,309700000.0
BEN,2014-03-31,2014-04-28,561000000,16137400000.0,10865200000,,,
BEN,2014-06-30,2014-07-30,578900000,16691900000.0,11295300000,,,
BEN,2014-09-30,2014-11-12,640600000,16357100000.0,11584100000,727100000.0,14900000.0,712200000.0
BEN,2014-12-31,2015-01-30,566400000,16296800000.0,11555800000,572400000.0,16100000.0,556300000.0
BEN,2015-03-31,2015-04-29,606500000,16491100000.0,11821500000,,,
BEN,2015-06-30,2015-07-29,504200000,16670300000.0,12085500000,,,
BEN,2015-09-30,2015-11-12,358200000,16335700000.0,11841000000,437100000.0,25300000.0,411800000.0
BEN,2015-12-31,2016-02-03,447800000,16155500000.0,11781200000,295200000.0,19100000.0,276100000.0
BEN,2016-03-31,2016-04-27,360400000,15890900000.0,11770400000,,,
BEN,2016-06-30,2016-07-28,446400000,15997500000.0,11782100000,,,
BEN,2016-09-30,2016-11-14,472100000,16098800000.0,11935800000,562300000.0,36200000.0,526100000.0
BEN,2016-12-31,2017-01-27,440200000,16210300000.0,11964800000,446200000.0,12800000.0,433400000.0
BEN,2017-03-31,2017-04-28,420700000,17210100000.0,12193600000,,,
BEN,2017-06-30,2017-07-28,410600000,17476200000.0,12400000000,,,
BEN,2017-09-30,2017-11-13,425200000,17534000000.0,12620000000,177100000.0,25900000.0,151200000.0
BEN,2017-12-31,2018-01-30,-583300000,18074400000.0,11758100000,320400000.0,19200000.0,301200000.0
BEN,2018-03-31,2018-04-26,443200000,17690000000.0,10058400000,,,
BEN,2018-06-30,2018-07-27,402000000,15528000000.0,9863500000,,,
BEN,2018-09-30,2018-11-09,502500000,14383500000.0,9899200000,721200000.0,35000000.0,686200000.0
BEN,2018-12-31,2019-01-30,275900000,13950600000.0,9745400000,266000000.0,25700000.0,240300000.0
BEN,2019-03-31,2019-04-26,367500000,14239000000.0,9883800000,,,
BEN,2019-06-30,2019-07-30,245900000,14463300000.0,9911000000,,,
BEN,2019-09-30,2019-11-12,306400000,14532200000.0,9906500000,32300000.0,31100000.0,1200000.0
BEN,2019-12-31,2020-01-30,350500000,15001800000.0,10081600000,31700000.0,25700000.0,6000000.0
BEN,2020-03-31,2020-04-30,79100000,14666200000.0,9903400000,,,
BEN,2020-06-30,2020-07-28,290400000,15617000000.0,10114200000,,,
BEN,2020-09-30,2020-11-23,78900000,20220900000.0,10114500000,374800000.0,18400000.0,356400000.0
BEN,2020-12-31,2021-02-02,345300000,21229600000.0,10400900000,290000000.0,13600000.0,276400000.0
BEN,2021-03-31,2021-05-04,381800000,21869800000.0,10563400000,,,
BEN,2021-06-30,2021-08-03,438400000,23129100000.0,10875200000,,,
BEN,2021-09-30,2021-11-19,665700000,24168400000.0,11223400000,506100000.0,44400000.0,461700000.0
BEN,2021-12-31,2022-02-01,453200000,24995100000.0,11552900000,166400000.0,16700000.0,149700000.0
BEN,2022-03-31,2022-05-03,349600000,25832900000.0,11540700000,,,
BEN,2022-06-30,2022-07-28,256400000,27596000000.0,11543700000,,,
BEN,2022-09-30,2022-11-14,232700000,28060600000.0,11474600000,866400000.0,34700000.0,831700000.0
BEN,2022-12-31,2023-01-30,165600000,29335100000.0,11666300000,-256300000.0,27400000.0,-283700000.0
BEN,2023-03-31,2023-05-01,194200000,29085700000.0,11831800000,,,
BEN,2023-06-30,2023-07-28,227500000,30234600000.0,11948100000,,,
BEN,2023-09-30,2023-11-14,295500000,30121200000.0,11916900000,773400000.0,27300000.0,746100000.0
BEN,2023-12-31,2024-01-29,251300000,29865800000.0,12001600000,-251900000.0,19500000.0,-271400000.0
BEN,2024-03-31,2024-04-29,124200000,32907700000.0,12861100000,,,
BEN,2024-06-30,2024-07-26,174000000,33254900000.0,12870200000,,,
BEN,2024-09-30,2024-11-12,-84700000,32464500000.0,12508100000,558200000.0,69800000.0,488400000.0
BEN,2024-12-31,2025-01-31,163600000,32390000000.0,12462100000,-145200000.0,71800000.0,-217000000.0
BEN,2025-03-31,2025-05-02,151400000,31989800000.0,12346000000,,,
BEN,2025-06-30,2025-08-01,92300000,32552200000.0,12203900000,,,
BEN,2025-09-30,2025-11-10,117600000,32368300000.0,12077800000,-20700000.0,31200000.0,-51900000.0
BEN,2025-12-31,2026-01-30,255500000,32549100000.0,12134900000,-255100000.0,,
