ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
BF-B,2009-07-31,2010-09-02,121400000,,1816000000,117800000.0,6800000.0,111000000.0
BF-B,2010-07-31,2010-09-02,111400000,3381900000.0,1866900000,96600000.0,6900000.0,89700000.0
BF-B,2010-10-31,2010-12-09,154000000,3440100000.0,1975400000,,,
BF-B,2011-01-31,2011-03-09,140700000,3522900000.0,1873700000,,,
BF-B,2011-04-30,2011-06-27,165900000,3712000000.0,2060000000,127500000.0,12500000.0,115000000.0
BF-B,2011-07-31,2011-09-08,118100000,3749200000.0,2070200000,64000000.0,6200000.0,57800000.0
BF-B,2011-10-31,2011-12-09,157600000,3673600000.0,2006200000,,,
BF-B,2012-01-31,2012-03-08,133100000,3676400000.0,2034700000,,,
BF-B,2012-04-30,2012-06-27,104300000,3477000000.0,2069000000,,26900000.0,
BF-B,2012-07-31,2012-09-05,147500000,3583000000.0,2122000000,,17400000.0,
BF-B,2012-10-31,2012-12-05,173000000,3803900000.0,2304800000,,,
BF-B,2013-01-31,2013-03-06,157600000,3832300000.0,1518800000,,,
BF-B,2013-04-30,2013-06-27,113000000,3626000000.0,1628000000,,35900000.0,
BF-B,2013-07-31,2013-08-28,143000000,3686000000.0,1666000000,,25000000.0,
BF-B,2013-10-31,2013-12-04,206000000,3882000000.0,1838000000,,,
BF-B,2014-01-31,2014-03-06,177000000,3993000000.0,1889000000,,,
BF-B,2014-04-30,2014-06-20,133000000,4103000000.0,2032000000,,39000000.0,
BF-B,2014-07-31,2014-08-28,150000000,4191000000.0,2054000000,,31000000.0,
BF-B,2014-10-31,2014-12-03,208000000,4243000000.0,2075000000,,,
BF-B,2015-01-31,2015-03-05,186000000,4161000000.0,2041000000,,,
BF-B,2015-04-30,2015-06-18,141000000,4193000000.0,1905000000,,28000000.0,
BF-B,2015-07-31,2015-08-26,156000000,4334000000.0,1707000000,,39000000.0,
BF-B,2015-10-31,2015-12-02,200000000,4319000000.0,1401000000,,,
BF-B,2016-01-31,2016-03-02,190000000,4333000000.0,1417000000,,,
BF-B,2016-04-30,2016-06-16,522000000,4183000000.0,1562000000,,20000000.0,
BF-B,2016-07-31,2016-08-31,144000000,4755000000.0,1330000000,,16000000.0,
BF-B,2016-10-31,2016-12-07,197000000,4720000000.0,1283000000,,,
BF-B,2017-01-31,2017-03-07,182000000,4600000000.0,1184000000,,,
BF-B,2017-04-30,2017-06-15,145000000,4625000000.0,1370000000,194000000.0,41000000.0,153000000.0
BF-B,2017-07-31,2017-08-30,178000000,4802000000.0,1420000000,105000000.0,28000000.0,77000000.0
BF-B,2017-10-31,2017-12-06,239000000,4978000000.0,1647000000,,,
BF-B,2018-01-31,2018-03-07,190000000,5042000000.0,1201000000,,,
BF-B,2018-04-30,2018-06-13,110000000,4976000000.0,1316000000,70000000.0,27000000.0,43000000.0
BF-B,2018-07-31,2018-08-29,200000000,5025000000.0,1368000000,126000000.0,23000000.0,103000000.0
BF-B,2018-10-31,2018-12-06,249000000,5149000000.0,1497000000,,,
BF-B,2019-01-31,2019-03-06,227000000,5163000000.0,1493000000,,,
BF-B,2019-04-30,2019-06-13,159000000,5139000000.0,1647000000,223000000.0,35000000.0,188000000.0
BF-B,2019-07-31,2019-08-28,186000000,5322000000.0,1663000000,72000000.0,21000000.0,51000000.0
BF-B,2019-10-31,2019-12-05,282000000,5553000000.0,1942000000,,,
BF-B,2020-01-31,2020-03-04,231000000,5518000000.0,2005000000,,,
BF-B,2020-04-30,2020-06-19,128000000,5766000000.0,1975000000,215000000.0,29000000.0,186000000.0
BF-B,2020-07-31,2020-09-02,324000000,6191000000.0,2150000000,91000000.0,15000000.0,76000000.0
BF-B,2020-10-31,2020-12-08,240000000,6350000000.0,2403000000,,,
BF-B,2021-01-31,2021-03-03,219000000,6495000000.0,2468000000,,,
BF-B,2021-04-30,2021-06-21,120000000,6522000000.0,2656000000,245000000.0,21000000.0,224000000.0
BF-B,2021-07-31,2021-09-01,192000000,6579000000.0,2683000000,185000000.0,14000000.0,171000000.0
BF-B,2021-10-31,2021-12-08,236000000,6616000000.0,2923000000,,,
BF-B,2022-01-31,2022-03-03,259000000,6226000000.0,2519000000,,,
BF-B,2022-04-30,2022-06-17,151000000,6373000000.0,2737000000,253000000.0,76000000.0,177000000.0
BF-B,2022-07-31,2022-08-31,249000000,6521000000.0,2807000000,173000000.0,33000000.0,140000000.0
BF-B,2022-10-31,2022-12-07,227000000,6852000000.0,3040000000,,,
BF-B,2023-01-31,2023-03-08,100000000,7754000000.0,3038000000,,,
BF-B,2023-04-30,2023-06-16,207000000,7777000000.0,3268000000,230000000.0,67000000.0,163000000.0
BF-B,2023-07-31,2023-08-30,231000000,8086000000.0,3338000000,38000000.0,49000000.0,-11000000.0
BF-B,2023-10-31,2023-12-06,242000000,8115000000.0,3454000000,,,
BF-B,2024-01-31,2024-03-06,285000000,8237000000.0,3245000000,,,
BF-B,2024-04-30,2024-06-14,266000000,8166000000.0,3517000000,285000000.0,80000000.0,205000000.0
BF-B,2024-07-31,2024-08-29,195000000,8205000000.0,3465000000,17000000.0,41000000.0,-24000000.0
BF-B,2024-10-31,2024-12-05,258000000,8332000000.0,3705000000,,,
BF-B,2025-01-31,2025-03-05,270000000,8071000000.0,3823000000,,,
BF-B,2025-04-30,2025-06-13,146000000,8086000000.0,3993000000,152000000.0,50000000.0,102000000.0
BF-B,2025-07-31,2025-08-28,170000000,8171000000.0,3988000000,160000000.0,31000000.0,129000000.0
BF-B,2025-10-31,2025-12-04,224000000,8221000000.0,4134000000,,,
BF-B,2026-01-31,2026-03-04,267000000,8302000000.0,4082000000,,,
