ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
BKR,2016-09-30,2017-10-31,0,,,
BKR,2017-03-31,2018-04-27,0,0.0,0.0,-346000000.0
BKR,2017-06-30,2018-07-30,0,0.0,0.0,
BKR,2017-09-30,2017-10-31,-104000000,54810000000.0,14985000000.0,
BKR,2017-12-31,2018-02-23,31000000,57050000000.0,14709000000.0,-214000000.0
BKR,2018-03-31,2018-04-27,70000000,55221000000.0,14252000000.0,294000000.0
BKR,2018-06-30,2018-07-30,-19000000,54090000000.0,13811000000.0,
BKR,2018-09-30,2018-10-30,13000000,53600000000.0,13740000000.0,
BKR,2018-12-31,2019-02-19,131000000,52439000000.0,17465000000.0,1089000000.0
BKR,2019-03-31,2019-04-30,32000000,53129000000.0,17512000000.0,-184000000.0
BKR,2019-06-30,2019-08-01,-9000000,52876000000.0,17388000000.0,
BKR,2019-09-30,2019-10-30,57000000,52549000000.0,21876000000.0,
BKR,2019-12-31,2020-02-13,48000000,53369000000.0,21929000000.0,1357000000.0
BKR,2020-03-31,2020-04-24,-10210000000,37229000000.0,11470000000.0,478000000.0
BKR,2020-06-30,2020-07-24,-201000000,37523000000.0,11254000000.0,
BKR,2020-09-30,2020-10-23,-170000000,37339000000.0,11582000000.0,
BKR,2020-12-31,2021-02-25,652000000,38007000000.0,12893000000.0,377000000.0
BKR,2021-03-31,2021-04-23,-452000000,36836000000.0,13043000000.0,678000000.0
BKR,2021-06-30,2021-07-23,-68000000,36669000000.0,13890000000.0,
BKR,2021-09-30,2021-10-22,8000000,35772000000.0,14142000000.0,
BKR,2021-12-31,2022-02-11,293000000,35308000000.0,14830000000.0,774000000.0
BKR,2022-03-31,2022-04-20,72000000,34994000000.0,15704000000.0,72000000.0
BKR,2022-06-30,2022-07-21,-839000000,33753000000.0,14882000000.0,
BKR,2022-09-30,2022-10-20,-17000000,33165000000.0,14144000000.0,
BKR,2022-12-31,2023-02-14,182000000,34181000000.0,14394000000.0,898000000.0
BKR,2023-03-31,2023-04-19,576000000,35042000000.0,14714000000.0,461000000.0
BKR,2023-06-30,2023-07-19,410000000,36093000000.0,15125000000.0,
BKR,2023-09-30,2023-10-26,518000000,36550000000.0,15250000000.0,
BKR,2023-12-31,2024-02-05,440000000,36945000000.0,15368000000.0,932000000.0
BKR,2024-03-31,2024-04-24,455000000,37141000000.0,15391000000.0,784000000.0
BKR,2024-06-30,2024-07-26,579000000,36656000000.0,15574000000.0,
BKR,2024-09-30,2024-10-23,766000000,37530000000.0,16189000000.0,
BKR,2024-12-31,2025-02-04,1179000000,38363000000.0,16895000000.0,1190000000.0
BKR,2025-03-31,2025-04-23,402000000,38110000000.0,17042000000.0,709000000.0
BKR,2025-06-30,2025-07-23,701000000,38740000000.0,17697000000.0,
BKR,2025-09-30,2025-10-24,609000000,39233000000.0,18157000000.0,
BKR,2025-12-31,2026-02-05,876000000,40881000000.0,18834000000.0,1662000000.0
BKR,2026-03-31,2026-04-24,930000000,50896000000.0,19314000000.0,500000000.0
