ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
CAG,2009-08-30,2009-10-07,165900000,11230400000,4799800000,262600000.0,118900000.0,143700000.0
CAG,2009-11-29,2010-01-05,239700000,11566500000,4984600000,,,
CAG,2010-02-28,2010-04-02,229600000,11746500000,5163300000,,,
CAG,2010-05-30,2010-07-22,90600000,11738000000,4923900000,366200000.0,119600000.0,246600000.0
CAG,2010-08-29,2010-10-01,146400000,11647700000,4907100000,108800000.0,129100000.0,-20300000.0
CAG,2010-11-28,2011-01-03,200900000,11603500000,4946700000,,,
CAG,2011-02-27,2011-04-04,214800000,11472800000,4617300000,,,
CAG,2011-05-29,2011-07-19,254900000,11408700000,4701500000,412400000.0,118800000.0,293600000.0
CAG,2011-08-28,2011-09-30,85300000,11610700000,4723400000,315100000.0,95600000.0,219500000.0
CAG,2011-11-27,2011-12-30,171800000,11478400000,4680900000,,,
CAG,2012-02-26,2012-03-30,271600000,11747900000,5022500000,,,
CAG,2012-05-27,2012-07-20,-60800000,11441900000,4439500000,272600000.0,97600000.0,175000000.0
CAG,2012-08-26,2012-09-28,250100000,11928600000,4553500000,323900000.0,98600000.0,225300000.0
CAG,2012-11-25,2012-12-28,211600000,12524500000,4602300000,,,
CAG,2013-02-24,2013-04-03,120000000,21107500000,5023200000,,,
CAG,2013-05-26,2013-07-19,192200000,20405300000,5264400000,630500000.0,169600000.0,460900000.0
CAG,2013-08-25,2013-10-01,144300000,20468800000,5364700000,166100000.0,181100000.0,-15000000.0
CAG,2013-11-24,2013-12-31,248700000,20786400000,5472200000,,,
CAG,2014-02-23,2014-04-01,234300000,20433300000,5626600000,,,
CAG,2014-05-25,2014-07-16,-324200000,19366400000,5258500000,608900000.0,131400000.0,477500000.0
CAG,2014-08-24,2014-09-29,482300000,19373100000,5661300000,233600000.0,111700000.0,121900000.0
CAG,2014-11-23,2014-12-29,10000000,19501700000,5569100000,,,
CAG,2015-02-22,2015-03-30,-954100000,17868900000,4452900000,,,
CAG,2015-05-31,2015-07-17,209200000,17542200000,4526000000,740100000.0,153500000.0,586600000.0
CAG,2015-08-30,2015-10-06,-1154100000,15834300000,3363300000,66800000.0,108000000.0,-41200000.0
CAG,2015-11-29,2016-01-06,154900000,15994600000,3433800000,,,
CAG,2016-02-28,2016-04-07,204600000,13187200000,3653500000,,,
CAG,2016-05-29,2016-07-15,117600000,13390600000,3713600000,512300000.0,150100000.0,362200000.0
CAG,2016-08-28,2016-10-04,186200000,12835900000,3718300000,325900000.0,117400000.0,208500000.0
CAG,2016-11-27,2017-01-04,122100000,11425000000,4446700000,,,
CAG,2017-02-26,2017-04-04,179700000,10499000000,4221300000,,,
CAG,2017-05-28,2017-07-21,151300000,10096300000,3990800000,329000000.0,83600000.0,245400000.0
CAG,2017-08-27,2017-10-03,152500000,10225600000,3793800000,136000000.0,42600000.0,93400000.0
CAG,2017-11-26,2018-01-04,223500000,10400100000,3697700000,,,
CAG,2018-02-25,2018-04-03,362800000,10463200000,3720500000,,,
CAG,2018-05-27,2018-07-20,69600000,10389500000,3676200000,111900000.0,75700000.0,36200000.0
CAG,2018-08-26,2018-10-02,178200000,10485000000,3736500000,94700000.0,86100000.0,8600000.0
CAG,2018-10-26,2019-10-01,178200000,10485000000,3736500000,,,
CAG,2018-11-25,2019-01-03,131600000,23006800000,7224100000,,,
CAG,2019-02-24,2019-04-02,242000000,22726600000,7373000000,,,
CAG,2019-05-26,2019-07-19,126500000,22213800000,7384600000,369200000.0,117000000.0,252200000.0
CAG,2019-08-25,2019-10-01,173800000,22354500000,7440100000,207000000.0,106600000.0,100400000.0
CAG,2019-11-24,2020-01-02,260500000,22492600000,7612100000,,,
CAG,2020-02-23,2020-03-31,204400000,22202100000,7785000000,,,
CAG,2020-05-31,2020-07-24,201400000,22304000000,7876100000,936100000.0,104200000.0,831900000.0
CAG,2020-08-30,2020-10-06,329000000,22377300000,8121400000,284500000.0,145500000.0,139000000.0
CAG,2020-11-29,2021-01-07,378900000,22276700000,8392000000,,,
CAG,2021-02-28,2021-04-08,281400000,22105100000,8251800000,,,
CAG,2021-05-30,2021-07-23,309500000,22195600000,8551800000,398100000.0,109700000.0,288400000.0
CAG,2021-08-29,2021-10-07,235400000,22539900000,8557000000,139800000.0,154900000.0,-15100000.0
CAG,2021-11-28,2022-01-06,275500000,22592000000,8679000000,,,
CAG,2022-02-27,2022-04-07,218400000,22499300000,8774600000,,,
CAG,2022-05-29,2022-07-21,158900000,22435100000,8787700000,424700000.0,100200000.0,324500000.0
CAG,2022-08-28,2022-10-06,-77500000,22219500000,8504300000,263700000.0,125400000.0,138300000.0
CAG,2022-11-27,2023-01-05,381900000,22414000000,8666300000,,,
CAG,2023-02-26,2023-04-05,341700000,22454200000,8866400000,,,
CAG,2023-05-28,2023-07-13,37500000,22052600000,8736800000,292000000.0,94800000.0,197200000.0
CAG,2023-08-27,2023-10-05,319700000,22365400000,8884500000,443500000.0,143600000.0,299900000.0
CAG,2023-11-26,2024-01-04,286200000,22120000000,9004000000,,,
CAG,2024-02-25,2024-04-04,308600000,21919900000,9154900000,,,
CAG,2024-05-26,2024-07-11,-567300000,20862300000,8440400000,484300000.0,78500000.0,405800000.0
CAG,2024-08-25,2024-10-02,466800000,21247800000,8695600000,268600000.0,133000000.0,135600000.0
CAG,2024-11-24,2024-12-19,284500000,21018100000,8800700000,,,
CAG,2025-02-23,2025-04-03,145100000,20744500000,8779100000,,,
CAG,2025-05-25,2025-07-10,256000000,20933900000,8932700000,345700000.0,85100000.0,260600000.0
CAG,2025-08-24,2025-10-01,164500000,21172800000,8932700000,120600000.0,146800000.0,-26200000.0
CAG,2025-11-23,2025-12-19,-663600000,19540300000,8932700000,,,
CAG,2026-02-22,2026-04-01,199800000,19212300000,8932700000,,,
