ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
CEG,2021-06-30,2022-08-04,-61000000,,,,,
CEG,2022-03-31,2022-05-12,106000000,46846000000.0,11105000000.0,1351000000.0,410000000.0,941000000.0
CEG,2022-06-30,2022-08-04,-111000000,45333000000.0,11000000000.0,,,
CEG,2022-09-30,2022-11-08,-188000000,46616000000.0,10803000000.0,,,
CEG,2022-12-31,2023-02-16,34000000,46909000000.0,11018000000.0,-2422000000.0,599000000.0,-3021000000.0
CEG,2023-03-31,2023-05-04,96000000,46158000000.0,10728000000.0,-934000000.0,660000000.0,-1594000000.0
CEG,2023-06-30,2023-08-03,833000000,46559000000.0,11256000000.0,,,
CEG,2023-09-30,2023-11-06,731000000,48965000000.0,11666000000.0,,,
CEG,2023-12-31,2024-02-27,-37000000,50758000000.0,10925000000.0,-3182000000.0,687000000.0,-3869000000.0
CEG,2024-03-31,2024-05-09,883000000,52014000000.0,11199000000.0,-723000000.0,738000000.0,-1461000000.0
CEG,2024-06-30,2024-08-06,814000000,51340000000.0,11425000000.0,,,
CEG,2024-09-30,2024-11-04,1200000000,51834000000.0,12570000000.0,,,
CEG,2024-12-31,2025-02-18,852000000,52926000000.0,13166000000.0,-1016000000.0,729000000.0,-1745000000.0
CEG,2025-03-31,2025-05-06,118000000,52252000000.0,12956000000.0,107000000.0,806000000.0,-699000000.0
CEG,2025-06-30,2025-08-07,839000000,53038000000.0,13446000000.0,,,
CEG,2025-09-30,2025-11-07,930000000,56161000000.0,14350000000.0,,,
CEG,2025-12-31,2026-02-24,432000000,57249000000.0,14517000000.0,805000000.0,986000000.0,-181000000.0
