ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
CIEN,2010-07-31,2010-09-08,-109855000,1811471000.0,228295000.0,,,
CIEN,2010-10-31,2010-12-22,-80317000,2118093000.0,159293000.0,-25774000.0,16561000.0,-42335000.0
CIEN,2011-01-31,2011-03-10,-79056000,2049644000.0,95127000.0,-63661000.0,17265000.0,-80926000.0
CIEN,2011-04-30,2011-06-09,-62686000,2004884000.0,49705000.0,,,
CIEN,2011-07-31,2011-09-08,-31450000,1938433000.0,28571000.0,,,
CIEN,2011-10-31,2011-12-22,-22329000,1951418000.0,13873000.0,42000000.0,11229000.0,30771000.0
CIEN,2012-01-31,2012-03-08,-47653000,1918256000.0,-21104000.0,12881000.0,7898000.0,4983000.0
CIEN,2012-04-30,2012-06-06,-27780000,1928640000.0,-41069000.0,,,
CIEN,2012-07-31,2012-09-05,-29817000,1915261000.0,-60258000.0,,,
CIEN,2012-10-31,2012-12-21,-38771000,1881143000.0,-88972000.0,10588000.0,15098000.0,-4510000.0
CIEN,2013-01-31,2013-03-13,-47324000,1885172000.0,-78635000.0,-45726000.0,12243000.0,-57969000.0
CIEN,2013-04-30,2013-06-12,-27079000,1693344000.0,-97937000.0,,,
CIEN,2013-07-31,2013-09-11,-1231000,1727355000.0,-83168000.0,,,
CIEN,2013-10-31,2013-12-20,-9797000,1802770000.0,-82677000.0,3551000.0,11930000.0,-8379000.0
CIEN,2014-01-31,2014-03-07,-15936000,1800615000.0,-86861000.0,-37158000.0,15776000.0,-52934000.0
CIEN,2014-04-30,2014-06-11,-10158000,1795464000.0,-80840000.0,,,
CIEN,2014-07-31,2014-09-09,16160000,2100417000.0,-45154000.0,,,
CIEN,2014-10-31,2014-12-19,-30703000,2072632000.0,-69615000.0,73849000.0,12242000.0,61607000.0
CIEN,2015-01-31,2015-03-12,-18779000,2056155000.0,-88575000.0,22138000.0,11194000.0,10944000.0
CIEN,2015-04-30,2015-06-10,20653000,2091564000.0,138663000.0,,,
CIEN,2015-07-31,2015-09-09,23625000,2163695000.0,177854000.0,,,
CIEN,2015-10-31,2015-12-21,-13832000,2695051000.0,620876000.0,84628000.0,22380000.0,62248000.0
CIEN,2016-01-31,2016-03-09,-11546000,2589315000.0,627027000.0,14980000.0,28873000.0,-13893000.0
CIEN,2016-04-30,2016-06-08,13997000,2981583000.0,669012000.0,,,
CIEN,2016-07-31,2016-09-07,33546000,3043658000.0,721559000.0,,,
CIEN,2016-10-31,2016-12-21,36587000,2882442000.0,766341000.0,136711000.0,26024000.0,110687000.0
CIEN,2017-01-31,2017-03-08,3861000,2860094000.0,798893000.0,-26250000.0,25706000.0,-51956000.0
CIEN,2017-04-30,2017-06-07,38026000,2777103000.0,846545000.0,,,
CIEN,2017-07-31,2017-09-07,60010000,2736660000.0,944310000.0,,,
CIEN,2017-10-31,2017-12-22,1160056000,3951711000.0,2136342000.0,138537000.0,18596000.0,119941000.0
CIEN,2018-01-31,2018-03-07,-473363000,3469384000.0,1756140000.0,35703000.0,25662000.0,10041000.0
CIEN,2018-04-30,2018-06-06,13856000,3506554000.0,1744119000.0,,,
CIEN,2018-07-31,2018-09-05,50840000,3622695000.0,1778954000.0,,,
CIEN,2018-10-31,2018-12-21,63977000,3756523000.0,1929334000.0,68026000.0,17230000.0,50796000.0
CIEN,2019-01-31,2019-03-11,33616000,3618106000.0,2054305000.0,-14105000.0,15345000.0,-29450000.0
CIEN,2019-04-30,2019-06-12,52738000,3686778000.0,2063199000.0,,,
CIEN,2019-07-31,2019-09-11,86749000,3775708000.0,2119384000.0,,,
CIEN,2019-10-31,2019-12-20,80331000,3893346000.0,2172761000.0,240013000.0,13516000.0,226497000.0
CIEN,2020-01-31,2020-03-11,62328000,3830887000.0,2193650000.0,39764000.0,26820000.0,12944000.0
CIEN,2020-05-02,2020-06-10,91655000,3856762000.0,2240576000.0,,,
CIEN,2020-08-01,2020-09-09,142267000,4055188000.0,2428867000.0,,,
CIEN,2020-10-31,2020-12-18,65041000,4180917000.0,2509597000.0,187295000.0,21334000.0,165961000.0
