ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
CLX,2009-03-31,2010-05-04,153000000,,,,,
CLX,2009-09-30,2009-11-03,157000000,4598000000.0,-47000000.0,94000000.0,34000000.0,60000000.0
CLX,2009-12-31,2010-02-05,110000000,4489000000.0,27000000.0,,,
CLX,2010-03-31,2010-05-04,165000000,4743000000.0,180000000.0,,,
CLX,2010-06-30,2010-08-26,171000000,4555000000.0,83000000.0,376000000.0,92000000.0,284000000.0
CLX,2010-09-30,2010-11-03,216000000,4793000000.0,279000000.0,148000000.0,34000000.0,114000000.0
CLX,2010-12-31,2011-02-07,21000000,4158000000.0,124000000.0,,,
CLX,2011-03-31,2011-05-04,151000000,4051000000.0,-82000000.0,,,
CLX,2011-06-30,2011-08-26,169000000,4163000000.0,-86000000.0,292000000.0,69000000.0,223000000.0
CLX,2011-09-30,2011-11-03,130000000,4077000000.0,-76000000.0,131000000.0,37000000.0,94000000.0
CLX,2011-12-31,2012-02-06,105000000,4290000000.0,-199000000.0,,,
CLX,2012-03-31,2012-05-03,132000000,4386000000.0,-106000000.0,,,
CLX,2012-06-30,2012-08-24,174000000,4355000000.0,-135000000.0,287000000.0,73000000.0,214000000.0
CLX,2012-09-30,2012-11-02,133000000,4747000000.0,-20000000.0,208000000.0,54000000.0,154000000.0
CLX,2012-12-31,2013-02-05,123000000,4502000000.0,56000000.0,,,
CLX,2013-03-31,2013-05-02,133000000,4523000000.0,152000000.0,,,
CLX,2013-06-30,2013-08-23,183000000,4311000000.0,146000000.0,290000000.0,60000000.0,230000000.0
CLX,2013-09-30,2013-11-01,136000000,4301000000.0,81000000.0,178000000.0,27000000.0,151000000.0
CLX,2013-12-31,2014-02-05,115000000,4388000000.0,156000000.0,,,
CLX,2014-03-31,2014-05-02,137000000,4374000000.0,53000000.0,,,
CLX,2014-06-30,2014-08-25,170000000,4258000000.0,154000000.0,337000000.0,50000000.0,287000000.0
CLX,2014-09-30,2014-11-03,90000000,4150000000.0,169000000.0,243000000.0,29000000.0,214000000.0
CLX,2014-12-31,2015-02-05,125000000,4674000000.0,281000000.0,,,
CLX,2015-03-31,2015-05-04,174000000,4228000000.0,302000000.0,,,
CLX,2015-06-30,2015-08-21,191000000,4164000000.0,118000000.0,379000000.0,42000000.0,337000000.0
CLX,2015-09-30,2015-11-02,172000000,4095000000.0,119000000.0,147000000.0,28000000.0,119000000.0
CLX,2015-12-31,2016-02-04,149000000,4175000000.0,198000000.0,,,
CLX,2016-03-31,2016-05-03,162000000,4284000000.0,259000000.0,,,
CLX,2016-06-30,2016-08-16,165000000,4518000000.0,297000000.0,331000000.0,59000000.0,272000000.0
CLX,2016-09-30,2016-11-02,179000000,4466000000.0,289000000.0,170000000.0,59000000.0,111000000.0
CLX,2016-12-31,2017-02-03,149000000,4568000000.0,270000000.0,,,
CLX,2017-03-31,2017-05-03,172000000,4629000000.0,404000000.0,,,
CLX,2017-06-30,2017-08-15,201000000,4573000000.0,542000000.0,386000000.0,70000000.0,316000000.0
CLX,2017-09-30,2017-11-01,192000000,4600000000.0,592000000.0,258000000.0,49000000.0,209000000.0
CLX,2017-12-31,2018-02-02,233000000,4758000000.0,760000000.0,,,
CLX,2018-03-31,2018-05-02,181000000,5444000000.0,837000000.0,,,
CLX,2018-06-30,2018-08-14,217000000,5060000000.0,726000000.0,400000000.0,68000000.0,332000000.0
CLX,2018-09-30,2018-10-31,210000000,5058000000.0,677000000.0,259000000.0,36000000.0,223000000.0
CLX,2018-12-31,2019-02-04,182000000,5073000000.0,742000000.0,,,
CLX,2019-03-31,2019-05-01,187000000,5162000000.0,781000000.0,,,
CLX,2019-06-30,2019-08-14,241000000,5116000000.0,559000000.0,389000000.0,71000000.0,318000000.0
CLX,2019-09-30,2019-10-31,203000000,5397000000.0,550000000.0,271000000.0,54000000.0,217000000.0
CLX,2019-12-31,2020-02-04,185000000,5459000000.0,555000000.0,,,
CLX,2020-03-31,2020-05-01,241000000,5850000000.0,695000000.0,,,
CLX,2020-06-30,2020-08-13,310000000,6213000000.0,908000000.0,740000000.0,96000000.0,644000000.0
CLX,2020-09-30,2020-11-02,415000000,6777000000.0,1115000000.0,383000000.0,69000000.0,314000000.0
CLX,2020-12-31,2021-02-04,259000000,6855000000.0,1184000000.0,,,
CLX,2021-03-31,2021-04-30,-61000000,6441000000.0,743000000.0,,,
CLX,2021-06-30,2021-08-10,97000000,6334000000.0,411000000.0,383000000.0,99000000.0,284000000.0
CLX,2021-09-30,2021-11-01,142000000,6274000000.0,368000000.0,41000000.0,52000000.0,-11000000.0
CLX,2021-12-31,2022-02-03,69000000,6190000000.0,313000000.0,,,
CLX,2022-03-31,2022-05-02,150000000,6322000000.0,400000000.0,,,
CLX,2022-06-30,2022-08-10,101000000,6158000000.0,556000000.0,335000000.0,79000000.0,256000000.0
CLX,2022-09-30,2022-11-01,85000000,6153000000.0,326000000.0,178000000.0,46000000.0,132000000.0
CLX,2022-12-31,2023-02-02,99000000,6045000000.0,321000000.0,,,
CLX,2023-03-31,2023-05-02,-211000000,5818000000.0,3000000.0,,,
CLX,2023-06-30,2023-08-10,176000000,5945000000.0,220000000.0,430000000.0,84000000.0,346000000.0
CLX,2023-09-30,2023-11-01,22000000,5991000000.0,-37000000.0,20000000.0,24000000.0,-4000000.0
CLX,2023-12-31,2024-02-01,93000000,5908000000.0,53000000.0,,,
CLX,2024-03-31,2024-04-30,-51000000,5805000000.0,91000000.0,,,
CLX,2024-06-30,2024-08-08,216000000,5751000000.0,328000000.0,340000000.0,81000000.0,259000000.0
CLX,2024-09-30,2024-10-30,99000000,5497000000.0,60000000.0,221000000.0,39000000.0,182000000.0
CLX,2024-12-31,2025-02-03,193000000,5577000000.0,-41000000.0,,,
CLX,2025-03-31,2025-05-05,186000000,5512000000.0,27000000.0,,,
CLX,2025-06-30,2025-08-08,332000000,5561000000.0,321000000.0,294000000.0,75000000.0,219000000.0
CLX,2025-09-30,2025-11-03,80000000,5528000000.0,-22000000.0,93000000.0,36000000.0,57000000.0
CLX,2025-12-31,2026-02-03,157000000,5613000000.0,-125000000.0,,,
