ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
CNC,2009-06-30,2010-07-27,20230000,,,,,
CNC,2009-09-30,2010-10-26,21268000,,,,,
CNC,2010-03-31,2011-04-26,24002000,1702364000.0,600845000.0,-38500000.0,12520000.0,-51020000.0
CNC,2010-06-30,2010-07-27,22773000,1733537000.0,763230000.0,,,
CNC,2010-09-30,2010-10-26,22662000,1795177000.0,790294000.0,,,
CNC,2010-12-31,2011-02-22,25399000,1943882000.0,793939000.0,194625000.0,-28656000.0,165969000.0
CNC,2011-03-31,2011-04-26,23745000,2003685000.0,829002000.0,93991000.0,15725000.0,78266000.0
CNC,2011-06-30,2011-07-26,28374000,2010444000.0,868466000.0,,,
CNC,2011-09-30,2011-10-25,28987000,2037498000.0,902710000.0,,,
CNC,2011-12-31,2012-02-21,30112000,2190336000.0,935634000.0,172023000.0,16062000.0,155961000.0
CNC,2012-03-31,2012-04-24,23978000,2283147000.0,979709000.0,-32096000.0,14980000.0,-47076000.0
CNC,2012-06-30,2012-07-24,-34999000,2449550000.0,951428000.0,,,
CNC,2012-09-30,2012-10-23,3819000,2690936000.0,963979000.0,,,
CNC,2012-12-31,2013-02-19,9061000,2741682000.0,953056000.0,-28591000.0,11543000.0,-40134000.0
CNC,2013-03-31,2013-04-23,23002000,2887157000.0,985708000.0,42993000.0,10654000.0,32339000.0
CNC,2013-06-30,2013-07-23,39484000,3045235000.0,1118207000.0,,,
CNC,2013-09-30,2013-10-22,49373000,3139037000.0,1179539000.0,,,
CNC,2013-12-31,2014-02-21,53240000,3529300000.0,1234041000.0,170856000.0,21452000.0,149404000.0
CNC,2014-03-31,2014-04-22,32983000,4446447000.0,1412666000.0,252445000.0,18116000.0,234329000.0
CNC,2014-06-30,2014-07-22,48863000,4682567000.0,1476165000.0,,,
CNC,2014-09-30,2014-10-28,82620000,5446345000.0,1632903000.0,,,
CNC,2014-12-31,2015-02-23,106534000,5838000000.0,1744000000.0,369266000.0,34472000.0,334794000.0
CNC,2015-03-31,2015-04-28,63000000,6696000000.0,1837000000.0,45000000.0,27000000.0,18000000.0
CNC,2015-06-30,2015-07-28,88000000,7022000000.0,1940000000.0,,,
CNC,2015-09-30,2015-10-27,93000000,7322000000.0,2051000000.0,,,
CNC,2015-12-31,2016-02-22,111000000,7339000000.0,2157000000.0,201000000.0,49000000.0,152000000.0
CNC,2016-03-31,2016-04-26,-17000000,18652000000.0,5297000000.0,195000000.0,45000000.0,150000000.0
CNC,2016-06-30,2016-07-26,169000000,19496000000.0,5529000000.0,,,
