ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
CTAS,2011-08-31,2011-10-07,68638000.0,4127892000.0,2114485000.0,,44421000.0,
CTAS,2011-11-30,2012-01-09,74350000.0,4215312000.0,2102619000.0,,,
CTAS,2012-02-29,2012-04-09,76035000.0,4253167000.0,2196627000.0,,,
CTAS,2012-05-31,2012-07-30,78614000.0,4160906000.0,2139135000.0,,43086000.0,
CTAS,2012-08-31,2012-10-10,76733000.0,4152235000.0,2154415000.0,,47438000.0,
CTAS,2012-11-30,2013-01-09,78027000.0,4217882000.0,2080644000.0,,,
CTAS,2013-02-28,2013-04-09,74705000.0,4221299000.0,2130246000.0,,,
CTAS,2013-05-31,2013-07-30,85977000.0,4345632000.0,2201492000.0,,44687000.0,
CTAS,2013-08-31,2013-10-10,77754000.0,4311177000.0,2196011000.0,,37462000.0,
CTAS,2013-11-30,2014-01-09,84862000.0,4365398000.0,2147972000.0,,,
CTAS,2014-02-28,2014-04-09,84602000.0,4400441000.0,2244033000.0,,,
CTAS,2014-05-31,2014-07-30,127224000.0,4462452000.0,2192858000.0,,31965000.0,
CTAS,2014-08-31,2014-10-10,110108000.0,4556270000.0,2271974000.0,,68050000.0,
CTAS,2014-11-30,2015-01-09,120412000.0,4697571000.0,2203334000.0,,,
CTAS,2015-02-28,2015-04-02,94883000.0,4266346000.0,2047666000.0,,,
CTAS,2015-05-31,2015-07-30,105215000.0,4192460000.0,1932455000.0,202630000.0,54680000.0,147950000.0
CTAS,2015-08-31,2015-10-09,100181000.0,4122949000.0,1848669000.0,143083000.0,62631000.0,80452000.0
CTAS,2015-11-30,2016-01-08,345100000.0,4450792000.0,1924528000.0,,,
CTAS,2016-02-29,2016-04-08,117341000.0,4231210000.0,1950106000.0,,,
CTAS,2016-05-31,2016-07-29,130898000.0,4104393000.0,1842659000.0,168691000.0,67883000.0,100808000.0
CTAS,2016-08-31,2016-10-11,138091000.0,4167145000.0,1987402000.0,157588000.0,78580000.0,79008000.0
CTAS,2016-11-30,2017-01-06,140377000.0,4214579000.0,2025705000.0,,,
CTAS,2017-02-28,2017-04-07,118005000.0,4271164000.0,2178258000.0,,,
CTAS,2017-05-31,2017-07-31,84235000.0,6844057000.0,2302793000.0,280129000.0,54696000.0,225433000.0
CTAS,2017-08-31,2017-10-06,217211000.0,6851606000.0,2565881000.0,254366000.0,62517000.0,191849000.0
CTAS,2017-11-30,2018-01-05,137109000.0,6978801000.0,2553033000.0,,,
CTAS,2018-02-28,2018-04-06,302095000.0,6928593000.0,2893997000.0,,,
CTAS,2018-05-31,2018-07-27,186171000.0,6958214000.0,3016526000.0,303296000.0,75659000.0,227637000.0
CTAS,2018-08-31,2018-10-05,212515000.0,7287204000.0,3345968000.0,162985000.0,64528000.0,98457000.0
CTAS,2018-11-30,2019-01-08,243013000.0,7405083000.0,3027244000.0,,,
CTAS,2019-02-28,2019-04-05,203334000.0,7433673000.0,3179492000.0,,,
CTAS,2019-05-31,2019-07-26,226119000.0,7436662000.0,3002721000.0,397145000.0,68914000.0,328231000.0
CTAS,2019-08-31,2019-10-08,250812000.0,7661900000.0,3050706000.0,276901000.0,64743000.0,212158000.0
CTAS,2019-11-30,2020-01-09,246120000.0,7887337000.0,3104970000.0,,,
CTAS,2020-02-29,2020-03-31,234520000.0,7901980000.0,3324309000.0,,,
CTAS,2020-05-31,2020-07-29,144585000.0,7669885000.0,3235202000.0,356934000.0,40910000.0,316024000.0
CTAS,2020-08-31,2020-10-09,300005000.0,8043381000.0,3604804000.0,312292000.0,30876000.0,281416000.0
CTAS,2020-11-30,2021-01-08,284857000.0,8454753000.0,3597960000.0,,,
CTAS,2021-02-28,2021-04-06,258384000.0,8347497000.0,3816510000.0,,,
CTAS,2021-05-31,2021-07-28,267722000.0,8236823000.0,3687847000.0,455925000.0,43060000.0,412865000.0
CTAS,2021-08-31,2021-10-07,331179000.0,7857750000.0,3309203000.0,262141000.0,48748000.0,213393000.0
CTAS,2021-11-30,2022-01-06,294669000.0,8017410000.0,3563127000.0,,,
CTAS,2022-02-28,2022-04-07,315448000.0,8168600000.0,3293900000.0,,,
CTAS,2022-05-31,2022-07-27,294461000.0,8147256000.0,3308196000.0,550570000.0,74821000.0,475749000.0
CTAS,2022-08-31,2022-10-06,351689000.0,8261026000.0,3229626000.0,298156000.0,70016000.0,228140000.0
CTAS,2022-11-30,2023-01-06,324293000.0,8427007000.0,3430538000.0,,,
CTAS,2023-02-28,2023-04-06,325827000.0,8466001000.0,3633256000.0,,,
CTAS,2023-05-31,2023-07-27,346201000.0,8546356000.0,3863986000.0,553623000.0,106993000.0,446630000.0
CTAS,2023-08-31,2023-10-05,385085000.0,8719681000.0,4077635000.0,336945000.0,106697000.0,230248000.0
CTAS,2023-11-30,2024-01-08,374613000.0,8813869000.0,3994481000.0,,,
CTAS,2024-02-29,2024-04-05,397579000.0,8978875000.0,4234083000.0,,,
CTAS,2024-05-31,2024-07-25,414315000.0,9168817000.0,4316372000.0,693040000.0,101911000.0,591129000.0
CTAS,2024-08-31,2024-10-04,452033000.0,9068707000.0,4021423000.0,466732000.0,92921000.0,373811000.0
CTAS,2024-11-30,2025-01-08,448495000.0,9366529000.0,4293106000.0,,,
CTAS,2025-02-28,2025-04-03,463497000.0,9611136000.0,4592248000.0,,,
CTAS,2025-05-31,2025-07-28,448256000.0,9825241000.0,4684481000.0,635749000.0,114624000.0,521125000.0
CTAS,2025-08-31,2025-10-08,491140000.0,9837690000.0,4755700000.0,414481000.0,101957000.0,312524000.0
CTAS,2025-11-30,2026-01-07,495343000.0,10132881000.0,4455347000.0,,,
CTAS,2026-02-28,2026-04-07,502496000.0,10233721000.0,4788383000.0,,,
