ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
D,2009-03-31,2010-04-29,248000000,42053000000.0,10077000000,1481000000.0,796000000.0,685000000.0
D,2009-06-30,2009-07-31,454000000,41497000000.0,11010000000,,,
D,2009-09-30,2009-11-02,594000000,42087000000.0,11327000000,,,
D,2009-12-31,2010-02-26,-9000000,42554000000.0,11185000000,804000000.0,912000000.0,-108000000.0
D,2010-03-31,2010-04-29,174000000,42163000000.0,11051000000,1650000000.0,877000000.0,773000000.0
D,2010-06-30,2010-08-02,1761000000,41788000000.0,12146000000,,,
D,2010-09-30,2010-10-29,575000000,42229000000.0,12095000000,,,
D,2010-12-31,2011-02-28,298000000,42817000000.0,11997000000,-59000000.0,875000000.0,-934000000.0
D,2011-03-31,2011-04-29,479000000,42777000000.0,11943000000,912000000.0,806000000.0,106000000.0
D,2011-06-30,2011-07-29,336000000,43411000000.0,11680000000,,,
D,2011-09-30,2011-10-28,392000000,44030000000.0,11632000000,,,
D,2012-03-31,2012-04-26,494000000,46093000000.0,11909000000,1623000000.0,981000000.0,642000000.0
D,2012-06-30,2012-08-01,258000000,46416000000.0,11896000000,,,
D,2012-09-30,2012-10-25,209000000,46886000000.0,11818000000,,,
D,2012-12-31,2013-02-28,-659000000,46838000000.0,10568000000,675000000.0,1261000000.0,-586000000.0
D,2013-03-31,2013-04-25,495000000,47116000000.0,10868000000,1052000000.0,904000000.0,148000000.0
D,2013-06-30,2013-08-06,202000000,48426000000.0,11003000000,,,
D,2013-09-30,2013-11-05,569000000,48488000000.0,11242000000,,,
D,2013-12-31,2014-02-28,431000000,50096000000.0,11642000000,483000000.0,1126000000.0,-643000000.0
D,2014-03-31,2014-04-30,379000000,50586000000.0,11699000000,753000000.0,1120000000.0,-367000000.0
D,2014-06-30,2014-07-30,159000000,51499000000.0,11567000000,,,
D,2014-09-30,2014-11-03,529000000,52279000000.0,11573000000,,,
D,2014-12-31,2015-02-27,243000000,54327000000.0,11555000000,1029000000.0,1603000000.0,-574000000.0
D,2015-03-31,2015-05-05,536000000,55156000000.0,12011000000,1131000000.0,1014000000.0,117000000.0
D,2015-06-30,2015-08-06,413000000,55942000000.0,12422000000,,,
D,2015-09-30,2015-11-03,593000000,56599000000.0,12592000000,,,
D,2015-12-31,2016-02-26,357000000,58797000000.0,12664000000,1022000000.0,1943000000.0,-921000000.0
D,2016-03-31,2016-05-05,524000000,59505000000.0,12880000000,1192000000.0,1497000000.0,-305000000.0
D,2016-06-30,2016-08-03,452000000,61369000000.0,14252000000,,,
D,2016-09-30,2016-11-09,690000000,69599000000.0,14958000000,,,
D,2016-12-31,2017-02-28,457000000,71610000000.0,14605000000,741000000.0,1549000000.0,-808000000.0
D,2017-03-31,2017-05-04,632000000,72852000000.0,14917000000,1360000000.0,1435000000.0,-75000000.0
D,2017-06-30,2017-08-03,390000000,73902000000.0,14973000000,,,
D,2017-09-30,2017-11-01,665000000,75391000000.0,16280000000,,,
D,2017-12-31,2018-02-27,1312000000,76585000000.0,17142000000,885000000.0,1382000000.0,-497000000.0
D,2018-03-31,2018-05-04,503000000,77354000000.0,17689000000,1232000000.0,1103000000.0,129000000.0
D,2018-06-30,2018-08-02,449000000,78075000000.0,18064000000,,,
D,2018-09-30,2018-11-02,854000000,79082000000.0,18470000000,,,
D,2018-12-31,2019-02-28,641000000,77914000000.0,20107000000,1062000000.0,1143000000.0,-81000000.0
D,2019-03-31,2019-05-03,-680000000,100054000000.0,26909000000,1171000000.0,1002000000.0,169000000.0
D,2019-06-30,2019-08-01,54000000,100822000000.0,27697000000,,,
D,2019-09-30,2019-11-01,975000000,102359000000.0,29286000000,,,
D,2019-12-31,2020-02-28,1009000000,103823000000.0,31994000000,1495000000.0,1573000000.0,-78000000.0
D,2020-03-31,2020-05-05,-270000000,104126000000.0,30726000000,1633000000.0,1462000000.0,171000000.0
D,2020-06-30,2020-08-05,-1169000000,103728000000.0,28871000000,,,
D,2020-09-30,2020-11-06,356000000,104535000000.0,26336000000,,,
D,2020-12-31,2021-02-25,682000000,95905000000.0,26117000000,417000000.0,,
D,2021-03-31,2021-05-04,1008000000,96703000000.0,26699000000,1452000000.0,,
D,2021-06-30,2021-08-06,285000000,97963000000.0,26550000000,,,
D,2021-09-30,2021-11-05,654000000,99804000000.0,26906000000,,,
D,2021-12-31,2022-02-24,1341000000,99590000000.0,27308000000,502000000.0,,
D,2022-03-31,2022-05-05,711000000,100852000000.0,27520000000,1125000000.0,,
D,2022-06-30,2022-08-08,-453000000,103678000000.0,28297000000,,,
D,2022-09-30,2022-11-04,778000000,103535000000.0,28573000000,,,
D,2022-12-31,2023-02-21,-42000000,104243000000.0,27881000000,1029000000.0,,
D,2023-03-31,2023-05-05,997000000,105325000000.0,28356000000,2097000000.0,,
D,2023-06-30,2023-08-04,599000000,106064000000.0,28428000000,,,
D,2023-09-30,2023-11-08,163000000,105943000000.0,28028000000,,,
D,2023-12-31,2024-02-23,235000000,109032000000.0,27529000000,1386000000.0,,
D,2024-03-31,2024-05-02,674000000,102005000000.0,27421000000,1982000000.0,,
D,2024-06-30,2024-08-01,572000000,100417000000.0,27073000000,,,
D,2024-09-30,2024-11-01,954000000,99820000000.0,27531000000,,,
D,2024-12-31,2025-02-27,-76000000,102415000000.0,27253000000,641000000.0,,
D,2025-03-31,2025-05-01,646000000,104555000000.0,27365000000,1183000000.0,,
D,2025-06-30,2025-08-01,760000000,107441000000.0,27215000000,,,
D,2025-09-30,2025-10-31,1006000000,111597000000.0,27691000000,,,
D,2025-12-31,2026-02-23,567000000,115857000000.0,29083000000,987000000.0,,
