ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
DD,2017-03-31,2018-05-04,888000000,79511000000,25987000000.0,-76000000.0
DD,2017-06-30,2018-08-03,1321000000,79511000000,25987000000.0,
DD,2017-09-30,2017-11-06,514000000,198527000000,102946000000.0,
DD,2017-12-31,2018-02-15,-1263000000,192164000000,100330000000.0,4226000000.0
DD,2018-03-31,2018-05-04,1104000000,192441000000,101260000000.0,-2137000000.0
DD,2018-06-30,2018-08-03,1768000000,187367000000,98262000000.0,
DD,2018-09-30,2018-11-02,497000000,184453000000,98090000000.0,
DD,2018-12-31,2019-02-11,475000000,188030000000,94571000000.0,5101000000.0
DD,2019-03-31,2019-05-03,520000000,189785000000,92444000000.0,26000000.0
DD,2019-06-30,2019-08-06,-571000000,70843000000,42006000000.0,
DD,2019-09-30,2019-10-31,372000000,70119000000,41344000000.0,
DD,2019-12-31,2020-02-14,176000000,69396000000,40987000000.0,
DD,2020-03-31,2020-05-05,-616000000,67987000000,39551000000.0,
DD,2020-06-30,2020-07-31,-2478000000,66753000000,37005000000.0,
DD,2020-09-30,2020-10-30,-79000000,72141000000,37559000000.0,
DD,2020-12-31,2021-02-12,222000000,70904000000,38504000000.0,1301000000.0
DD,2021-03-31,2021-05-04,5394000000,47804000000,27188000000.0,378000000.0
DD,2021-06-30,2021-08-04,478000000,45839000000,26877000000.0,
DD,2021-09-30,2021-11-03,391000000,46015000000,26633000000.0,
DD,2021-12-31,2022-02-11,204000000,45707000000,26433000000.0,621000000.0
DD,2022-03-31,2022-05-06,488000000,45393000000,26176000000.0,209000000.0
DD,2022-06-30,2022-08-04,787000000,44440000000,25528000000.0,
DD,2022-09-30,2022-11-08,367000000,44099000000,24909000000.0,
DD,2022-12-31,2023-02-15,4226000000,41355000000,26569000000.0,-126000000.0
DD,2023-03-31,2023-05-03,257000000,41208000000,26737000000.0,343000000.0
DD,2023-06-30,2023-08-03,-131000000,40797000000,26123000000.0,
DD,2023-09-30,2023-11-02,319000000,39133000000,24192000000.0,
DD,2023-12-31,2024-02-15,-22000000,38552000000,24279000000.0,
DD,2024-03-31,2024-05-01,189000000,37717000000,23584000000.0,
DD,2024-06-30,2024-07-31,178000000,36553000000,23335000000.0,
DD,2024-09-30,2024-11-05,454000000,37461000000,24212000000.0,
DD,2024-12-31,2025-02-14,-118000000,36636000000,23350000000.0,
DD,2025-03-31,2025-05-02,-589000000,35981000000,22834000000.0,
DD,2025-06-30,2025-08-05,59000000,36559000000,23064000000.0,
DD,2025-09-30,2025-11-06,-123000000,38044000000,22894000000.0,
DD,2025-12-31,2026-02-17,-126000000,21575000000,13919000000.0,
