ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
DLR,2011-06-30,2011-08-05,36703000,5658405000.0,2071152000.0,
DLR,2011-09-30,2011-11-07,36344000,5826412000.0,2516343000.0,
DLR,2011-12-31,2012-02-28,45716000,6098566000.0,2522917000.0,120858000.0
DLR,2012-03-31,2012-05-07,48042000,6418061000.0,2564703000.0,70537000.0
DLR,2012-06-30,2012-08-07,52334000,6717113000.0,2687964000.0,
DLR,2012-09-30,2012-11-08,-55392000,8512598000.0,3479443000.0,
DLR,2012-12-31,2013-02-28,366102000,8819214000.0,3468305000.0,186412000.0
DLR,2013-03-31,2013-05-08,50711000,8971492000.0,3345627000.0,89041000.0
DLR,2013-06-30,2013-08-08,58476000,9184859000.0,3547111000.0,
DLR,2013-09-30,2013-11-12,150598000,9426041000.0,3643482000.0,
DLR,2013-12-31,2014-03-03,54703000,9685745000.0,3610516000.0,
DLR,2014-03-31,2014-05-12,45912000,9805394000.0,3831233000.0,
DLR,2014-06-30,2014-08-07,60339000,9910231000.0,4091722000.0,
DLR,2014-09-30,2014-11-07,127769000,9722007000.0,4062108000.0,
DLR,2014-12-31,2015-03-02,-33837000,9526784000.0,3878256000.0,
DLR,2015-03-31,2015-05-08,120183000,9408426000.0,3815457000.0,
DLR,2015-06-30,2015-08-06,135511000,9586009000.0,3847845000.0,
DLR,2015-09-30,2015-11-06,56978000,9501013000.0,3995479000.0,
DLR,2015-12-31,2016-02-29,-15983000,11451267000.0,4500132000.0,
DLR,2016-03-31,2016-05-06,61549000,11421975000.0,4406798000.0,
DLR,2016-06-30,2016-08-09,50375000,11292375000.0,4289820000.0,
DLR,2016-09-30,2016-11-09,219188000,12299035000.0,5158721000.0,
DLR,2016-12-31,2017-03-01,95075000,12192585000.0,5096015000.0,285209000.0
DLR,2017-03-31,2017-05-10,83538000,12329548000.0,5031463000.0,219066000.0
DLR,2017-06-30,2017-08-09,78651000,12579571000.0,4996815000.0,
DLR,2017-09-30,2017-11-09,12435000,21232498000.0,10469279000.0,
DLR,2017-12-31,2018-03-01,73635000,21404345000.0,10349081000.0,341754000.0
DLR,2018-03-31,2018-05-08,106627000,21581917000.0,10253851000.0,236990000.0
DLR,2018-06-30,2018-08-07,85463000,21411423000.0,10140378000.0,
DLR,2018-09-30,2018-11-02,87597000,21462110000.0,10026254000.0,
DLR,2018-12-31,2019-02-25,51559000,23766695000.0,9858644000.0,351475000.0
DLR,2019-03-31,2019-05-10,116812000,23342067000.0,10088408000.0,350700000.0
DLR,2019-06-30,2019-08-07,60168000,23430091000.0,9562225000.0,
DLR,2019-09-30,2019-11-08,66497000,23172765000.0,9437290000.0,
DLR,2019-12-31,2020-03-02,336284000,23068131000.0,9879312000.0,401873000.0
DLR,2020-03-31,2020-05-11,224014000,33113300000.0,16460236000.0,226660000.0
DLR,2020-06-30,2020-08-10,74831000,33862638000.0,16984527000.0,
DLR,2020-09-30,2020-11-06,-138000,35435333000.0,17669845000.0,
DLR,2020-12-31,2021-03-01,57691000,36076291000.0,17717697000.0,525802000.0
DLR,2021-03-31,2021-05-07,385920000,35542491000.0,17623737000.0,327875000.0
DLR,2021-06-30,2021-08-06,121254000,36151220000.0,17457656000.0,
DLR,2021-09-30,2021-11-05,134275000,35847646000.0,17274117000.0,
DLR,2021-12-31,2022-02-25,1067810000,36369560000.0,18004568000.0,451938000.0
DLR,2022-03-31,2022-05-06,73281000,36680542000.0,17698207000.0,277685000.0
DLR,2022-06-30,2022-08-05,63427000,35956057000.0,17138632000.0,
DLR,2022-09-30,2022-11-04,237075000,39215217000.0,17063920000.0,
DLR,2022-12-31,2023-02-27,3901000,41484998000.0,17583334000.0,456424000.0
DLR,2023-03-31,2023-05-04,68726000,41953067000.0,17212489000.0,349726000.0
DLR,2023-06-30,2023-08-04,118184000,42388734000.0,17621456000.0,
DLR,2023-09-30,2023-11-09,733618000,41932517000.0,18190026000.0,
DLR,2023-12-31,2024-02-23,28310000,44113258000.0,19117534000.0,462305000.0
DLR,2024-03-31,2024-05-03,281508000,42633089000.0,19019850000.0,352275000.0
DLR,2024-06-30,2024-08-02,80220000,43606883000.0,20537503000.0,
DLR,2024-09-30,2024-11-01,51193000,45295391000.0,21246111000.0,
DLR,2024-12-31,2025-02-25,189569000,45283616000.0,21340397000.0,769475000.0
DLR,2025-03-31,2025-05-01,109974000,45080562000.0,21295598000.0,399085000.0
DLR,2025-06-30,2025-08-01,1032156000,48714995000.0,22914527000.0,
DLR,2025-09-30,2025-10-31,67812000,48728634000.0,23025030000.0,
DLR,2025-12-31,2026-02-13,98647000,49410468000.0,22925663000.0,718953000.0
