ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
DTE,2009-03-31,2010-04-29,178000000,24590000000.0,5995000000.0,839000000.0
DTE,2009-09-30,2009-10-30,158000000,23959000000.0,6236000000.0,
DTE,2009-12-31,2010-02-23,113000000,24195000000.0,6278000000.0,145000000.0
DTE,2010-03-31,2010-04-29,229000000,24203000000.0,6551000000.0,817000000.0
DTE,2010-06-30,2011-07-29,86000000,24203000000.0,6551000000.0,
DTE,2010-09-30,2010-10-29,163000000,24266000000.0,6646000000.0,
DTE,2010-12-31,2011-02-18,152000000,24896000000.0,6722000000.0,316000000.0
DTE,2011-03-31,2011-04-27,176000000,24489000000.0,6793000000.0,722000000.0
DTE,2011-06-30,2011-07-29,202000000,24579000000.0,6785000000.0,
DTE,2011-09-30,2011-11-04,183000000,24780000000.0,6970000000.0,
DTE,2011-12-31,2012-02-16,150000000,26009000000.0,7009000000.0,522000000.0
DTE,2012-03-31,2012-04-27,156000000,25846000000.0,7104000000.0,620000000.0
DTE,2012-06-30,2012-07-30,146000000,26075000000.0,7142000000.0,
DTE,2012-09-30,2012-10-24,227000000,25909000000.0,7389000000.0,
DTE,2012-12-31,2013-02-20,81000000,26339000000.0,7373000000.0,480000000.0
DTE,2013-03-31,2013-04-26,234000000,25949000000.0,7596000000.0,597000000.0
DTE,2013-06-30,2013-07-26,105000000,25944000000.0,7552000000.0,
DTE,2013-09-30,2013-10-25,198000000,26231000000.0,7876000000.0,
DTE,2013-12-31,2014-02-14,124000000,25935000000.0,7921000000.0,439000000.0
DTE,2014-03-31,2014-04-25,326000000,26161000000.0,8117000000.0,532000000.0
DTE,2014-06-30,2014-07-25,124000000,26189000000.0,8008000000.0,
DTE,2014-09-30,2014-10-24,156000000,26376000000.0,8169000000.0,
DTE,2014-12-31,2015-02-13,299000000,27974000000.0,8327000000.0,541000000.0
DTE,2015-03-31,2015-04-24,273000000,28068000000.0,8665000000.0,747000000.0
DTE,2015-06-30,2015-07-24,109000000,28350000000.0,8539000000.0,
DTE,2015-09-30,2015-10-23,265000000,28654000000.0,8812000000.0,
DTE,2015-12-31,2016-02-10,80000000,28737000000.0,8772000000.0,443000000.0
DTE,2016-03-31,2016-04-26,247000000,28564000000.0,8887000000.0,741000000.0
DTE,2016-06-30,2016-07-26,152000000,28769000000.0,8778000000.0,
DTE,2016-09-30,2016-10-26,338000000,29462000000.0,9130000000.0,
DTE,2016-12-31,2017-02-09,131000000,32041000000.0,9011000000.0,317000000.0
DTE,2017-03-31,2017-04-26,400000000,32149000000.0,9194000000.0,787000000.0
DTE,2017-06-30,2017-07-26,177000000,32582000000.0,9088000000.0,
DTE,2017-09-30,2017-10-25,270000000,33071000000.0,9373000000.0,
DTE,2017-12-31,2018-02-16,287000000,33767000000.0,9512000000.0,567000000.0
DTE,2018-03-31,2018-04-25,361000000,33841000000.0,9888000000.0,838000000.0
DTE,2018-06-30,2018-07-25,234000000,34330000000.0,9844000000.0,
DTE,2018-09-30,2018-10-24,334000000,35292000000.0,10207000000.0,
DTE,2018-12-31,2019-02-07,191000000,36288000000.0,10237000000.0,633000000.0
DTE,2019-03-31,2019-04-24,401000000,36434000000.0,10545000000.0,752000000.0
DTE,2019-06-30,2019-07-24,182000000,36851000000.0,10396000000.0,
DTE,2019-09-30,2019-10-28,319000000,38345000000.0,10740000000.0,
DTE,2019-12-31,2020-02-05,267000000,41882000000.0,11672000000.0,748000000.0
DTE,2020-03-31,2020-04-28,340000000,43232000000.0,11822000000.0,1061000000.0
DTE,2020-06-30,2020-07-28,277000000,43739000000.0,11724000000.0,
DTE,2020-09-30,2020-10-27,476000000,44439000000.0,12323000000.0,
DTE,2020-12-31,2021-02-19,275000000,45496000000.0,12425000000.0,916000000.0
DTE,2021-03-31,2021-04-27,397000000,46699000000.0,12552000000.0,1057000000.0
DTE,2021-06-30,2021-07-27,179000000,49636000000.0,12378000000.0,
DTE,2021-09-30,2021-10-27,25000000,39435000000.0,8567000000.0,
DTE,2021-12-31,2022-02-10,306000000,39719000000.0,8705000000.0,695000000.0
DTE,2022-03-31,2022-04-28,394000000,40360000000.0,8863000000.0,808000000.0
DTE,2022-06-30,2022-07-28,37000000,41314000000.0,8574000000.0,
DTE,2022-09-30,2022-10-27,387000000,41954000000.0,8980000000.0,
DTE,2022-12-31,2023-02-23,265000000,42683000000.0,10397000000.0,565000000.0
DTE,2023-03-31,2023-04-27,445000000,42518000000.0,10642000000.0,924000000.0
DTE,2023-06-30,2023-07-27,201000000,42921000000.0,10481000000.0,
DTE,2023-09-30,2023-11-01,332000000,43730000000.0,10850000000.0,
DTE,2023-12-31,2024-02-08,419000000,44755000000.0,11050000000.0,845000000.0
DTE,2024-03-31,2024-04-25,313000000,45902000000.0,11173000000.0,1042000000.0
DTE,2024-06-30,2024-07-25,322000000,47811000000.0,11106000000.0,
DTE,2024-09-30,2024-10-24,477000000,49806000000.0,11592000000.0,
DTE,2024-12-31,2025-02-13,292000000,48846000000.0,11699000000.0,1084000000.0
DTE,2025-03-31,2025-05-01,445000000,49555000000.0,11921000000.0,1020000000.0
DTE,2025-06-30,2025-07-29,229000000,50248000000.0,11722000000.0,
DTE,2025-09-30,2025-10-30,419000000,52028000000.0,12158000000.0,
DTE,2025-12-31,2026-02-17,369000000,54066000000.0,12303000000.0,1048000000.0
