ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
ED,2010-03-31,2011-05-05,229000000,33873000000.0,10462000000.0,1000000.0,1000000.0,0.0
ED,2010-06-30,2010-08-06,186000000,34389000000.0,10593000000.0,,,
ED,2010-09-30,2011-11-03,353000000,34389000000.0,10593000000.0,,,
ED,2011-03-31,2011-05-05,314000000,36186000000.0,11444000000.0,362000000.0,23000000.0,339000000.0
ED,2011-06-30,2011-08-05,168000000,36019000000.0,11464000000.0,,,
ED,2011-09-30,2011-11-03,386000000,36535000000.0,11667000000.0,,,
ED,2011-12-31,2012-02-21,193000000,39214000000.0,11649000000.0,976000000.0,23000000.0,953000000.0
ED,2012-03-31,2012-05-03,280000000,39701000000.0,11545000000.0,402000000.0,9000000.0,393000000.0
ED,2012-06-30,2012-08-02,214000000,40049000000.0,11579000000.0,,,
ED,2012-09-30,2012-11-06,440000000,39633000000.0,11842000000.0,,,
ED,2012-12-31,2013-02-21,207000000,41209000000.0,11869000000.0,961000000.0,84000000.0,877000000.0
ED,2013-03-31,2013-05-02,192000000,41736000000.0,11889000000.0,-84000000.0,91000000.0,-175000000.0
ED,2013-06-30,2013-08-01,172000000,41922000000.0,11883000000.0,,,
ED,2013-09-30,2013-11-04,464000000,41964000000.0,11883000000.0,,,
ED,2013-12-31,2014-02-21,234000000,40647000000.0,12245000000.0,1314000000.0,50000000.0,1264000000.0
ED,2014-03-31,2014-05-08,361000000,40481000000.0,12426000000.0,,61000000.0,
ED,2014-06-30,2014-08-07,212000000,40311000000.0,12455000000.0,,,
ED,2014-09-30,2014-11-06,436000000,40667000000.0,12707000000.0,,,
ED,2014-12-31,2015-02-19,82000000,44308000000.0,12576000000.0,,28000000.0,
ED,2015-03-31,2015-05-07,370000000,43977000000.0,12761000000.0,,42000000.0,
ED,2015-06-30,2015-08-06,219000000,44751000000.0,12788000000.0,,,
ED,2015-09-30,2015-11-05,428000000,44971000000.0,13040000000.0,,,
ED,2015-12-31,2016-02-18,176000000,45642000000.0,13052000000.0,,126000000.0,
ED,2016-03-31,2016-05-06,310000000,45580000000.0,13193000000.0,524000000.0,210000000.0,314000000.0
ED,2016-06-30,2016-08-04,232000000,47270000000.0,13950000000.0,,,
ED,2016-09-30,2016-11-03,497000000,47316000000.0,14267000000.0,,,
ED,2016-12-31,2017-02-16,206000000,48255000000.0,14298000000.0,1123000000.0,409000000.0,714000000.0
ED,2017-03-31,2017-05-04,388000000,48365000000.0,14498000000.0,448000000.0,113000000.0,335000000.0
ED,2017-06-30,2017-08-03,175000000,49099000000.0,14490000000.0,,,
ED,2017-09-30,2017-11-02,457000000,49246000000.0,15102000000.0,,,
ED,2017-12-31,2018-02-15,505000000,48111000000.0,15418000000.0,1140000000.0,127000000.0,1013000000.0
ED,2018-03-31,2018-05-03,428000000,48900000000.0,15654000000.0,143000000.0,35000000.0,108000000.0
ED,2018-06-30,2018-08-02,188000000,49064000000.0,15648000000.0,,,
ED,2018-09-30,2018-11-01,435000000,49544000000.0,15887000000.0,,,
ED,2018-12-31,2019-02-21,331000000,53920000000.0,16726000000.0,1095000000.0,5056000000.0,-3961000000.0
ED,2019-03-31,2019-05-02,424000000,55066000000.0,17369000000.0,464000000.0,48000000.0,416000000.0
ED,2019-06-30,2019-08-01,152000000,55602000000.0,17709000000.0,,,
ED,2019-09-30,2019-11-04,473000000,55940000000.0,17959000000.0,,,
ED,2019-12-31,2020-02-20,295000000,58079000000.0,18022000000.0,1174000000.0,3533000000.0,-2359000000.0
ED,2020-03-31,2020-05-07,375000000,59159000000.0,18261000000.0,412000000.0,,
ED,2020-06-30,2020-08-06,190000000,59081000000.0,18225000000.0,,,
ED,2020-09-30,2020-11-05,493000000,59595000000.0,18494000000.0,,,
ED,2020-12-31,2021-02-18,43000000,62895000000.0,18847000000.0,830000000.0,,
ED,2021-03-31,2021-05-06,419000000,62299000000.0,19033000000.0,289000000.0,,
ED,2021-06-30,2021-08-05,165000000,62919000000.0,19743000000.0,,,
ED,2021-09-30,2021-11-04,538000000,62938000000.0,20037000000.0,,,
ED,2021-12-31,2022-02-17,224000000,63116000000.0,20037000000.0,1021000000.0,,
ED,2022-03-31,2022-05-05,602000000,63737000000.0,20378000000.0,473000000.0,,
ED,2022-06-30,2022-08-04,255000000,65072000000.0,20387000000.0,,,
ED,2022-09-30,2022-11-03,613000000,65763000000.0,20748000000.0,,,
ED,2022-12-31,2023-02-16,190000000,69065000000.0,20687000000.0,1317000000.0,,
ED,2023-03-31,2023-05-04,1433000000,62804000000.0,20843000000.0,92000000.0,,
ED,2023-06-30,2023-08-03,226000000,63771000000.0,20805000000.0,,,
ED,2023-09-30,2023-11-02,526000000,64405000000.0,21078000000.0,,,
ED,2023-12-31,2024-02-15,334000000,66331000000.0,21158000000.0,975000000.0,,
ED,2024-03-31,2024-05-02,720000000,66680000000.0,21615000000.0,573000000.0,,
ED,2024-06-30,2024-08-01,202000000,67920000000.0,21560000000.0,,,
ED,2024-09-30,2024-11-07,588000000,68645000000.0,21898000000.0,,,
ED,2024-12-31,2025-02-20,310000000,70562000000.0,21962000000.0,1310000000.0,,
ED,2025-03-31,2025-05-01,791000000,70691000000.0,23783000000.0,837000000.0,,
ED,2025-06-30,2025-08-07,246000000,71501000000.0,23756000000.0,,,
ED,2025-09-30,2025-11-06,688000000,71844000000.0,24168000000.0,,,
ED,2025-12-31,2026-02-19,297000000,74603000000.0,24190000000.0,1480000000.0,,
