ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
EXR,2010-06-30,2010-08-06,6180000,2179115000.0,879037000.0,
EXR,2010-09-30,2010-11-05,7667000,2175150000.0,876582000.0,
EXR,2010-12-31,2011-02-25,8916000,2248468000.0,881401000.0,30085000.0
EXR,2011-03-31,2011-05-06,8301000,2253117000.0,890803000.0,30002000.0
EXR,2011-06-30,2011-08-08,10609000,2310857000.0,1004272000.0,
EXR,2011-09-30,2011-11-07,15261000,2374228000.0,1007380000.0,
EXR,2013-12-31,2014-03-03,76940000,3977140000.0,1758470000.0,
EXR,2014-03-31,2014-05-08,37340000,4123491000.0,1750274000.0,
EXR,2014-06-30,2014-08-07,41665000,4208890000.0,1736548000.0,
EXR,2014-09-30,2014-11-06,54228000,4225895000.0,1739328000.0,
EXR,2014-12-31,2015-03-02,45122000,4402107000.0,1737425000.0,
EXR,2015-03-31,2015-05-08,53742000,4464145000.0,1732876000.0,
EXR,2015-06-30,2015-08-10,55339000,4833750000.0,2144173000.0,
EXR,2015-09-30,2015-11-06,71718000,6002836000.0,2109292000.0,
EXR,2015-12-31,2016-02-29,8675000,6071407000.0,2089077000.0,
EXR,2016-03-31,2016-05-06,82592000,6291419000.0,2143062000.0,95466000.0
EXR,2016-06-30,2016-08-05,83044000,6458998000.0,2114707000.0,
EXR,2016-09-30,2016-11-04,118088000,6742056000.0,2198826000.0,
EXR,2016-12-31,2017-02-27,82403000,7091446000.0,2244892000.0,153104000.0
EXR,2017-03-31,2017-05-05,82282000,7034357000.0,2236116000.0,113121000.0
EXR,2017-06-30,2017-08-04,87006000,7037463000.0,2221791000.0,
EXR,2017-09-30,2017-11-03,93764000,7086955000.0,2215266000.0,
EXR,2017-12-31,2018-03-01,215961000,7455137000.0,2350751000.0,147746000.0
EXR,2018-03-31,2018-05-09,88256000,7470624000.0,2343754000.0,171608000.0
EXR,2018-06-30,2018-08-09,95153000,7721949000.0,2341950000.0,
EXR,2018-09-30,2018-11-06,130418000,7798690000.0,2395719000.0,
EXR,2018-12-31,2019-02-26,101462000,7847978000.0,2413724000.0,148768000.0
EXR,2019-03-31,2019-05-07,94770000,8132514000.0,2384149000.0,169339000.0
EXR,2019-06-30,2019-08-06,104828000,8390719000.0,2442209000.0,
EXR,2019-09-30,2019-11-05,108087000,8318430000.0,2522714000.0,
EXR,2019-12-31,2020-02-25,112282000,8532377000.0,2539961000.0,163220000.0
EXR,2020-03-31,2020-05-08,108179000,8549486000.0,2398119000.0,189256000.0
EXR,2020-06-30,2020-08-06,102911000,8529894000.0,2375690000.0,
EXR,2020-09-30,2020-11-06,114633000,8761104000.0,2389284000.0,
EXR,2020-12-31,2021-02-26,156056000,9395848000.0,2547779000.0,187965000.0
EXR,2021-03-31,2021-05-03,202998000,9336612000.0,2921969000.0,203880000.0
EXR,2021-06-30,2021-08-05,167948000,9463092000.0,2968088000.0,
EXR,2021-09-30,2021-11-03,188276000,9708359000.0,2991762000.0,
EXR,2021-12-31,2022-02-28,268427000,10474477000.0,3116496000.0,223168000.0
EXR,2022-03-31,2022-05-06,203579000,10591750000.0,3210215000.0,287465000.0
EXR,2022-06-30,2022-08-05,232130000,11038767000.0,3202120000.0,
EXR,2022-09-30,2022-11-04,220719000,11840645000.0,3250571000.0,
EXR,2022-12-31,2023-02-28,204260000,12167458000.0,3259597000.0,290118000.0
EXR,2023-03-31,2023-05-04,196304000,12132669000.0,3253333000.0,281649000.0
EXR,2023-06-30,2023-08-09,202410000,12365453000.0,3255778000.0,
EXR,2023-09-30,2023-11-09,188350000,27625818000.0,14537121000.0,
EXR,2023-12-31,2024-02-29,216134000,27456262000.0,14390921000.0,364515000.0
EXR,2024-03-31,2024-05-03,213112000,27480120000.0,14297046000.0,465556000.0
EXR,2024-06-30,2024-08-02,185872000,27762080000.0,14172632000.0,
EXR,2024-09-30,2024-11-04,193210000,28063117000.0,14010613000.0,
EXR,2024-12-31,2025-02-28,262487000,28847926000.0,13947535000.0,408279000.0
EXR,2025-03-31,2025-05-02,270875000,28993918000.0,13886787000.0,481404000.0
EXR,2025-06-30,2025-08-01,249731000,29368011000.0,13790842000.0,
EXR,2025-09-30,2025-10-31,165998000,29232969000.0,13617621000.0,
EXR,2025-12-31,2026-02-20,287395000,29264046000.0,13433166000.0,367797000.0
